date,open,high,low,close,volume
1972-06-01,0.139,0.1412,0.139,0.1412,2458771.0
1972-06-02,0.1412,0.1416,0.139,0.1394,1613885.0
1972-06-05,0.1394,0.1399,0.1382,0.139,2585251.0
1972-06-06,0.139,0.1429,0.1386,0.142,2347469.0
1972-06-07,0.142,0.142,0.1399,0.142,1032077.0
1972-06-08,0.142,0.1424,0.1412,0.1412,1067491.0
1972-06-09,0.1412,0.1424,0.1412,0.142,1563293.0
1972-06-12,0.142,0.1446,0.142,0.1424,1942733.0
1972-06-13,0.1424,0.1446,0.1416,0.1437,2175456.0
1972-06-14,0.1437,0.1446,0.1429,0.1437,2069213.0
1972-06-15,0.1437,0.145,0.142,0.142,2726909.0
1972-06-16,0.142,0.1446,0.1403,0.1446,2398061.0
1972-06-19,0.1446,0.1463,0.1441,0.1463,1694832.0
1972-06-20,0.1463,0.1471,0.1454,0.1471,2332291.0
1972-06-21,0.1471,0.148,0.1454,0.1454,2038858.0
1972-06-22,0.1454,0.1467,0.1441,0.1459,2438534.0
1972-06-23,0.1459,0.1463,0.142,0.1454,1482346.0
1972-06-26,0.1454,0.1454,0.142,0.1437,1618944.0
1972-06-27,0.1437,0.145,0.142,0.1437,2048976.0
1972-06-28,0.1433,0.1433,0.1416,0.1424,1315392.0
1972-06-29,0.1424,0.1446,0.1416,0.1446,1118083.0
1972-06-30,0.1446,0.1471,0.1441,0.145,2924218.0
1972-07-03,0.145,0.1463,0.1437,0.1454,824650.0
1972-07-05,0.1463,0.1497,0.1463,0.148,2903981.0
1972-07-06,0.1493,0.1514,0.1493,0.151,3895584.0
1972-07-07,0.151,0.1531,0.1501,0.1531,2119805.0
1972-07-10,0.1531,0.1553,0.1527,0.1536,3091171.0
1972-07-11,0.1536,0.1553,0.1536,0.1536,2185574.0
1972-07-12,0.1536,0.1553,0.1531,0.154,2696554.0
1972-07-13,0.1531,0.1531,0.1489,0.1497,1113024.0
1972-07-14,0.1497,0.154,0.1493,0.1531,1583530.0
1972-07-17,0.1531,0.154,0.1493,0.1518,819590.0
1972-07-18,0.1514,0.1514,0.1459,0.1501,1527878.0
1972-07-19,0.1501,0.1523,0.1489,0.151,2145101.0
1972-07-20,0.151,0.1518,0.1484,0.1489,1492464.0
1972-07-21,0.1489,0.1497,0.1471,0.1497,956189.0
1972-07-24,0.1497,0.1497,0.1446,0.1463,9733901.0
1972-07-25,0.1467,0.1501,0.1467,0.1489,2696554.0
1972-07-26,0.1489,0.1497,0.148,0.148,1355866.0
1972-07-27,0.148,0.1484,0.1471,0.1471,1133261.0
1972-07-28,0.1476,0.1484,0.1476,0.1484,1128202.0
1972-07-31,0.1484,0.1484,0.1471,0.1471,2043917.0
1972-08-01,0.1471,0.1506,0.1471,0.1501,1806134.0
1972-08-02,0.1506,0.1527,0.1506,0.1523,3020342.0
1972-08-03,0.1523,0.1527,0.1493,0.1501,1305274.0
1972-08-04,0.1501,0.1518,0.1489,0.151,2145101.0
1972-08-07,0.151,0.1514,0.1493,0.1514,1962970.0
1972-08-08,0.1514,0.1523,0.1506,0.1514,2403120.0
1972-08-09,0.1514,0.1518,0.1506,0.1518,2479008.0
1972-08-10,0.1518,0.1536,0.151,0.1536,1163616.0
1972-08-11,0.1536,0.1566,0.1527,0.1566,3162000.0
1972-08-14,0.1566,0.1574,0.1553,0.1566,3313776.0
1972-08-15,0.1566,0.1566,0.1548,0.1557,1254682.0
1972-08-16,0.1557,0.1566,0.1536,0.1548,1532938.0
1972-08-17,0.1548,0.157,0.1544,0.1553,2726909.0
1972-08-18,0.1548,0.1548,0.1523,0.1523,3050698.0
1972-08-21,0.1523,0.1531,0.1501,0.1523,1295155.0
1972-08-22,0.1523,0.154,0.1506,0.1514,1431754.0
1972-08-23,0.1514,0.1531,0.1493,0.1506,1654358.0
1972-08-24,0.1506,0.151,0.1471,0.1497,2155219.0
1972-08-25,0.1497,0.1506,0.1471,0.148,2823034.0
1972-08-28,0.148,0.1493,0.1467,0.1476,1436813.0
1972-08-29,0.1481,0.1498,0.1473,0.149,2140042.0
1972-08-30,0.149,0.149,0.1473,0.1481,2231107.0
1972-08-31,0.1481,0.1485,0.146,0.1468,2190634.0
1972-09-01,0.1468,0.1473,0.1451,0.1473,4877069.0
1972-09-05,0.1473,0.1477,0.1464,0.1477,991603.0
1972-09-06,0.1473,0.1473,0.143,0.1438,1917437.0
1972-09-07,0.1438,0.1443,0.1391,0.1395,3075994.0
1972-09-08,0.1395,0.143,0.1395,0.1417,1780838.0
1972-09-11,0.1417,0.1421,0.14,0.1408,1391280.0
1972-09-12,0.1408,0.1421,0.1387,0.1387,1492464.0
1972-09-13,0.1387,0.1408,0.1378,0.1404,4275024.0
1972-09-14,0.1404,0.1421,0.1382,0.1391,2069213.0
1972-09-15,0.1395,0.1417,0.1395,0.1412,1158557.0
1972-09-18,0.1412,0.1434,0.14,0.1417,728525.0
1972-09-19,0.1417,0.1447,0.1408,0.1434,849946.0
1972-09-20,0.1434,0.1451,0.1417,0.143,1158557.0
1972-09-21,0.143,0.1447,0.1425,0.1434,1340688.0
1972-09-22,0.1434,0.1443,0.1417,0.1421,1290096.0
