date,open,high,low,close,volume
1962-01-02,0.2413,0.2446,0.2413,0.2426,192000.0
1962-01-03,0.2426,0.2426,0.238,0.24,428800.0
1962-01-04,0.24,0.2407,0.236,0.236,326400.0
1962-01-05,0.236,0.2367,0.2314,0.2344,544000.0
1962-01-08,0.233,0.233,0.2254,0.2281,1523200.0
1962-01-09,0.2281,0.2314,0.2267,0.2277,499200.0
1962-01-10,0.2277,0.2301,0.2264,0.2284,300800.0
1962-01-11,0.2284,0.2301,0.2281,0.2281,371200.0
1962-01-12,0.2281,0.2314,0.2281,0.2294,390400.0
1962-01-15,0.2294,0.2301,0.2267,0.2281,281600.0
1962-01-16,0.2291,0.2304,0.2277,0.2291,236800.0
1962-01-17,0.2291,0.2294,0.2211,0.2211,377600.0
1962-01-18,0.2211,0.2221,0.2204,0.2221,544000.0
1962-01-19,0.2221,0.2234,0.2214,0.2221,697600.0
1962-01-22,0.2221,0.2237,0.2211,0.2224,646400.0
1962-01-23,0.2224,0.2234,0.2217,0.2221,332800.0
1962-01-24,0.2221,0.2224,0.2191,0.2201,422400.0
1962-01-25,0.2201,0.2224,0.2191,0.2211,294400.0
1962-01-26,0.2211,0.2221,0.2191,0.2191,230400.0
1962-01-29,0.2191,0.2204,0.2184,0.2184,313600.0
1962-01-30,0.2184,0.2197,0.2164,0.2184,294400.0
1962-01-31,0.2197,0.2224,0.2197,0.2204,422400.0
1962-02-01,0.2204,0.2224,0.2204,0.2211,435200.0
1962-02-02,0.2211,0.2224,0.2204,0.2217,595200.0
1962-02-05,0.2211,0.2211,0.2191,0.2204,396800.0
1962-02-06,0.2204,0.2204,0.2184,0.2201,249600.0
1962-02-07,0.2201,0.2204,0.2191,0.2201,268800.0
1962-02-08,0.2201,0.2204,0.2177,0.2184,403200.0
1962-02-09,0.2184,0.2194,0.2174,0.2174,396800.0
1962-02-12,0.2174,0.2181,0.2174,0.2181,134400.0
1962-02-13,0.2181,0.2187,0.2174,0.2174,345600.0
1962-02-14,0.2174,0.2181,0.2161,0.2174,422400.0
1962-02-15,0.2174,0.2181,0.2171,0.2181,281600.0
1962-02-16,0.2181,0.2181,0.2161,0.2171,486400.0
1962-02-19,0.2171,0.2171,0.2157,0.2157,281600.0
1962-02-20,0.2157,0.2157,0.2141,0.2147,460800.0
1962-02-21,0.2144,0.2144,0.2111,0.2131,531200.0
1962-02-23,0.2131,0.2151,0.2124,0.2131,332800.0
1962-02-26,0.2131,0.2141,0.2121,0.2121,326400.0
1962-02-27,0.2121,0.2131,0.2111,0.2124,480000.0
1962-02-28,0.2124,0.2131,0.2111,0.2117,326400.0
1962-03-01,0.2127,0.2137,0.2127,0.2137,268800.0
1962-03-02,0.2137,0.2137,0.2114,0.2121,313600.0
1962-03-05,0.2121,0.2131,0.2114,0.2124,198400.0
1962-03-06,0.2124,0.2137,0.2108,0.2131,294400.0
1962-03-07,0.2131,0.2137,0.2121,0.2131,275200.0
1962-03-08,0.2134,0.2157,0.2134,0.2157,390400.0
1962-03-09,0.2161,0.2171,0.2161,0.2167,358400.0
1962-03-12,0.2167,0.2177,0.2164,0.2177,332800.0
1962-03-13,0.2181,0.2204,0.2181,0.2191,473600.0
1962-03-14,0.2197,0.2234,0.2197,0.2234,480000.0
1962-03-15,0.2234,0.2234,0.2211,0.2217,512000.0
1962-03-16,0.2217,0.2217,0.2194,0.2207,211200.0
1962-03-19,0.2207,0.2207,0.2191,0.2197,262400.0
1962-03-20,0.2197,0.2207,0.2194,0.2201,256000.0
1962-03-21,0.2201,0.2244,0.2201,0.2224,640000.0
1962-03-22,0.2231,0.2277,0.2231,0.2271,390400.0
1962-03-23,0.2271,0.2304,0.2257,0.2271,345600.0
1962-03-26,0.2271,0.2284,0.2217,0.2217,249600.0
1962-03-27,0.2217,0.2251,0.2217,0.2217,185600.0
1962-03-28,0.2231,0.2264,0.2231,0.2264,256000.0
1962-03-29,0.2264,0.2287,0.2261,0.2277,288000.0
1962-03-30,0.2277,0.2304,0.2271,0.2284,876800.0
1962-04-02,0.2284,0.2287,0.2267,0.2267,691200.0
1962-04-03,0.2254,0.2254,0.2231,0.2237,364800.0
1962-04-04,0.2237,0.2247,0.2227,0.2231,281600.0
1962-04-05,0.2251,0.2271,0.2251,0.2271,364800.0
1962-04-06,0.2271,0.2297,0.2264,0.2264,364800.0
1962-04-09,0.2264,0.2264,0.2231,0.2247,320000.0
1962-04-10,0.2247,0.2264,0.2224,0.2247,544000.0
1962-04-11,0.2254,0.2264,0.2254,0.2257,172800.0
1962-04-12,0.2257,0.2257,0.2237,0.2237,307200.0
1962-04-13,0.2237,0.2257,0.2217,0.2234,332800.0
1962-04-16,0.2244,0.2244,0.2227,0.2234,288000.0
1962-04-17,0.2234,0.2247,0.2234,0.2234,224000.0
1962-04-18,0.2234,0.2254,0.2234,0.2241,288000.0
1962-04-19,0.2241,0.2254,0.2241,0.2247,243200.0
1962-04-23,0.2254,0.2274,0.2254,0.2267,409600.0
1962-04-24,0.2267,0.2267,0.2234,0.2234,262400.0
1962-04-25,0.2234,0.2254,0.2234,0.2244,288000.0
1962-04-26,0.2237,0.2237,0.2207,0.2214,384000.0
1962-04-27,0.2214,0.2241,0.2191,0.2194,352000.0
1962-04-30,0.2194,0.2214,0.214,0.216,454400.0
1962-05-01,0.216,0.2164,0.2114,0.2147,665600.0
1962-05-02,0.2147,0.2187,0.212,0.2134,550400.0
1962-05-03,0.214,0.2167,0.214,0.2167,448000.0
1962-05-04,0.2167,0.2174,0.2147,0.2167,224000.0
1962-05-07,0.2174,0.2234,0.2174,0.2201,339200.0
