date,open,high,low,close,volume
2015-07-06,37.6737,39.4087,35.6909,36.3948,5866600.0
2015-07-07,37.3961,37.4854,35.6909,36.3056,7359000.0
2015-07-08,36.028,36.0478,34.2335,34.4021,5387700.0
2015-07-09,34.7986,35.215,33.6982,34.2038,3760100.0
2015-07-10,34.3624,34.8879,33.6882,34.3921,4472800.0
2015-07-13,35.2844,37.178,35.1952,36.4642,7626000.0
2015-07-14,36.6724,37.416,36.2857,36.6129,4653300.0
2015-07-15,37.6539,37.872,36.7121,37.1879,13072800.0
2015-07-16,38.4867,39.6268,37.753,38.2983,21348500.0
2015-07-17,39.0815,39.8548,37.8522,38.0604,45720200.0
2015-07-20,41.104,42.1847,39.4583,40.1225,52286500.0
2015-07-21,40.7273,40.757,38.7841,39.0121,32954600.0
2015-07-22,39.0121,39.379,37.7729,38.0604,25363900.0
2015-07-23,38.4074,38.4173,36.6129,36.6922,19250200.0
2015-07-24,37.3862,37.6737,36.5931,36.6823,14274300.0
2015-07-27,36.4642,37.0591,35.909,36.0776,16179900.0
2015-07-28,36.8707,37.6737,36.5138,37.2772,18986000.0
2015-07-29,37.7035,37.7729,37.297,37.6242,11788400.0
2015-07-30,37.7134,38.6751,37.3912,38.1199,13845100.0
2015-07-31,38.8039,38.8634,37.8918,38.3677,12480600.0
2015-08-03,38.913,39.5376,38.566,39.0518,15126600.0
2015-08-04,39.5673,39.5673,38.1,38.6156,10992200.0
2015-08-05,39.3591,39.5376,38.8337,38.9328,9463100.0
2015-08-06,39.2897,39.3988,38.219,38.5164,7324100.0
2015-08-07,38.7048,38.8932,38.2686,38.794,8331300.0
2015-08-10,39.0914,39.3492,38.4371,38.7147,7998900.0
2015-08-11,38.5957,38.9427,38.3875,38.5164,8184000.0
2015-08-12,38.219,38.2487,36.6922,37.8621,21350600.0
2015-08-13,38.0703,38.1595,37.1185,37.297,7863500.0
2015-08-14,37.1681,37.8522,37.0591,37.8125,6271100.0
2015-08-17,37.9711,38.4173,37.3763,38.3975,4931700.0
2015-08-18,38.6651,38.6651,37.5448,37.6638,4678800.0
2015-08-19,37.5448,37.7729,36.7121,36.8707,6923400.0
2015-08-20,36.5336,37.0194,35.5719,35.6711,10645700.0
2015-08-21,35.2646,35.8,33.5395,33.9559,16824100.0
2015-08-24,30.9024,34.5508,29.7424,33.4602,19676600.0
2015-08-25,35.1357,35.1555,32.4192,32.4192,15557100.0
2015-08-26,33.4106,33.5494,31.4377,32.8852,25350400.0
2015-08-27,33.5792,34.4715,32.8753,34.3227,18909600.0
2015-08-28,34.2137,34.9573,34.0749,34.7391,8344800.0
2015-08-31,35.1952,35.2051,34.4715,34.6995,12123800.0
2015-09-01,33.8568,34.3822,33.1231,33.48,13376000.0
2015-09-02,34.3029,34.7788,33.5445,34.7689,7521000.0
2015-09-03,34.7094,35.1555,34.4715,35.0068,6683800.0
2015-09-04,34.412,34.4219,33.49,33.9956,7483100.0
2015-09-08,34.5111,34.5904,33.9559,34.4021,7674500.0
2015-09-09,34.6202,34.6499,33.5891,34.0749,10946900.0
2015-09-10,33.9361,33.9956,32.6671,33.1727,12134500.0
2015-09-11,32.9843,33.3016,32.33,33.2619,9184200.0
2015-09-14,33.4106,33.6585,32.9149,33.48,7897700.0
2015-09-15,33.4305,33.6585,32.3895,33.5098,11874900.0
2015-09-16,33.1727,33.7676,33.0736,33.48,7183900.0
2015-09-17,33.4305,33.6982,32.796,33.0339,7846800.0
2015-09-18,32.6175,33.49,32.2705,32.6373,16488100.0
2015-09-21,33.371,34.3227,33.143,33.9559,12736500.0
2015-09-22,33.6486,33.8072,32.905,33.0637,8538000.0
2015-09-23,33.2024,34.0452,32.9744,33.8667,5405500.0
2015-09-24,33.7081,33.7775,33.0934,33.6188,6544500.0
2015-09-25,34.3029,34.3921,33.2124,33.48,6566800.0
2015-09-28,33.3908,33.3908,31.8789,31.9731,7407300.0
2015-09-29,31.9929,32.3895,30.0398,30.367,12008100.0
2015-09-30,30.9321,31.0114,30.3769,30.7735,13672000.0
2015-10-01,30.5554,31.3158,30.486,31.2097,9657000.0
2015-10-02,30.5554,32.5779,30.486,32.5481,7609800.0
2015-10-05,32.6671,32.7365,32.102,32.3895,6119100.0
2015-10-06,32.6274,32.6274,31.5071,31.5864,7409800.0
2015-10-07,32.0326,32.1922,31.2494,32.102,6969600.0
2015-10-08,32.1615,32.1714,30.8231,31.3981,9281500.0
2015-10-09,31.4179,32.1714,31.1403,31.7847,5911400.0
2015-10-12,31.9136,32.3895,31.8244,32.3498,3915500.0
2015-10-13,32.3201,33.1925,32.0623,32.9348,8787700.0
2015-10-14,33.1132,34.1641,33.1132,33.7576,8198300.0
2015-10-15,34.1542,34.4219,33.8667,34.3227,9103200.0
2015-10-16,34.4516,34.7491,33.6585,33.9956,5390700.0
2015-10-19,34.1344,34.6053,33.4999,34.5409,5855700.0
2015-10-20,34.5012,34.6896,34.293,34.5706,6084200.0
2015-10-21,34.4516,34.5012,32.5977,33.5395,9054500.0
2015-10-22,34.1344,34.9473,33.9658,34.4913,8735500.0
2015-10-23,35.4232,35.443,34.5012,34.6896,8909100.0
2015-10-26,35.7405,36.2758,35.2101,36.1271,11554600.0
2015-10-27,36.0776,36.0815,35.0068,35.6314,8502400.0
2015-10-28,35.8991,36.3353,35.5025,36.2064,11634300.0
2015-10-29,34.4318,36.1866,34.2038,35.6017,25137300.0
2015-10-30,35.334,36.1767,34.9374,35.7008,13409200.0
2015-11-02,35.2745,37.0888,35.1456,36.6724,11254900.0
2015-11-03,36.7319,38.1099,36.6823,37.5746,12025200.0
2015-11-04,38.1199,38.1893,37.0095,37.2772,12226800.0
2015-11-05,37.4953,37.6539,36.3452,36.3948,9068900.0
2015-11-06,36.2758,36.3849,35.4926,35.9288,10256800.0
2015-11-09,35.79,36.4245,35.3439,36.2857,11571500.0
2015-11-10,36.2659,36.8806,36.1866,36.6823,36384400.0
2015-11-11,36.8707,36.9996,35.443,36.0181,12762500.0
2015-11-12,35.6364,35.7405,34.531,35.2646,11835900.0
2015-11-13,34.8779,35.1952,34.2038,34.2335,7364400.0
2015-11-16,34.2533,35.3538,34.2335,35.3042,6734500.0
2015-11-17,35.5818,36.137,35.4034,35.8991,7344900.0
2015-11-18,36.0082,36.6327,35.4777,35.909,8323100.0
2015-11-19,36.137,36.1866,35.6017,35.8793,5041300.0
2015-11-20,36.137,36.137,35.6116,36.0478,4543400.0
2015-11-23,36.1866,36.3353,35.106,35.2547,6961000.0
2015-11-24,34.9473,34.9969,34.5805,34.8185,8390100.0
2015-11-25,34.8978,35.5521,34.8284,35.0564,3881800.0
2015-11-27,35.215,35.3935,34.759,34.8779,2549400.0
2015-11-30,35.0564,35.1357,34.3922,34.9573,9357300.0
2015-12-01,35.106,35.106,33.5594,34.868,14893900.0
2015-12-02,34.9275,35.8594,34.6301,34.8482,5762400.0
2015-12-03,34.8978,34.9275,33.5594,33.9361,7311900.0
2015-12-04,34.0848,35.5124,33.9262,35.3142,10664300.0
2015-12-07,35.4034,35.4926,34.5508,34.8581,4918000.0
2015-12-08,34.3327,35.3935,34.2236,35.2943,7420800.0
2015-12-09,35.0861,35.2943,34.5309,34.7689,7381700.0
2015-12-10,34.8581,35.6017,34.8581,35.1853,6949700.0
2015-12-11,34.8482,35.0227,34.1245,34.3921,8309200.0
2015-12-14,34.3128,34.9206,34.0352,34.7094,5784400.0
2015-12-15,34.8879,36.1965,34.8779,36.0082,11709900.0
2015-12-16,35.8099,35.9388,34.8879,35.6711,7076300.0
2015-12-17,35.6909,36.2659,35.2051,35.2349,6454100.0
2015-12-18,35.0465,35.453,34.4318,34.6797,13745900.0
2015-12-21,34.9077,35.8396,34.8085,35.7702,5856000.0
2015-12-22,35.8099,36.5733,35.4728,36.489,6030900.0
2015-12-23,36.4741,37.3565,36.4543,36.7914,7579500.0
2015-12-24,36.6922,36.9103,36.5039,36.7517,2133400.0
2015-12-28,36.3849,36.6823,35.9388,36.2957,4930100.0
2015-12-29,36.603,37.1285,36.4345,36.7616,3436600.0
2015-12-30,36.7517,36.9302,36.1469,36.1668,4106700.0
2015-12-31,35.9883,36.1866,35.7415,35.8892,4481900.0
2016-01-04,34.8284,35.2547,33.9857,34.4516,12287700.0
2016-01-05,34.6797,34.6797,33.5693,34.0154,11227700.0
2016-01-06,33.4106,33.718,32.9249,33.6882,8441300.0
2016-01-07,32.8654,33.8677,32.7365,32.8455,11041100.0
2016-01-08,33.1727,33.5891,32.3498,32.4093,7848800.0
2016-01-11,32.7365,33.143,32.1912,32.7563,8937400.0
2016-01-12,33.0636,33.2818,32.3796,32.796,7854000.0
2016-01-13,32.9943,33.2818,31.6955,31.8442,8069400.0
2016-01-14,31.874,32.7563,31.4328,32.5878,7749500.0
2016-01-15,31.3485,32.2606,31.3485,32.0326,12174400.0
2016-01-19,32.4787,32.8951,31.6558,31.9235,6674700.0
2016-01-20,31.1601,31.4278,30.258,30.9321,13170600.0
2016-01-21,31.3386,31.4675,30.6347,30.9321,9978900.0
2016-01-22,31.3783,31.6955,31.2692,31.4179,9444000.0
2016-01-25,31.7054,31.7054,31.0808,31.1998,7591800.0
2016-01-26,31.2196,31.7054,31.1205,31.6955,8617000.0
2016-01-27,31.6856,32.3498,31.1106,31.3188,12711700.0
2016-01-28,33.3412,34.4516,33.0636,33.946,20378600.0
2016-01-29,34.1939,35.9487,34.065,35.8297,21201100.0
2016-02-01,35.3439,36.9996,35.2844,36.7616,17356000.0
2016-02-02,36.2163,37.4457,36.1271,36.5138,17310600.0
2016-02-03,36.5534,37.2276,35.7603,36.6922,14543100.0
2016-02-04,36.3452,36.9649,36.2263,36.8509,10212300.0
2016-02-05,36.8409,36.8409,34.521,34.7689,16245800.0
2016-02-08,33.7081,33.9956,31.7054,33.3214,20629000.0
2016-02-09,32.5184,33.5673,31.3683,32.4192,16439200.0
2016-02-10,33.3313,33.6486,32.5382,32.6175,8636500.0
2016-02-11,31.8442,33.3512,31.7352,33.2322,13170100.0
2016-02-12,33.6783,34.1443,33.5197,34.0055,9437100.0
2016-02-16,34.3525,35.215,34.1839,35.1555,9152400.0
2016-02-17,35.6711,36.5931,35.5025,36.0478,12070600.0
2016-02-18,36.0974,36.2163,35.3538,35.9982,9022100.0
2016-02-19,35.6909,35.9239,35.3042,35.453,9652800.0
2016-02-22,36.137,36.1866,35.5124,35.6909,10476200.0
2016-02-23,35.4133,35.6265,34.7193,35.1754,8415200.0
2016-02-24,34.9176,36.4345,34.5607,36.1569,8090600.0
2016-02-25,36.3551,36.5138,35.8694,36.4245,5209500.0
