date,open,high,low,close,volume
1991-12-13,0.3169,0.3542,0.3123,0.3356,143667200.0
1991-12-16,0.3356,0.3449,0.3216,0.3309,22585600.0
1991-12-17,0.3449,0.3449,0.3262,0.3309,16176000.0
1991-12-18,0.3309,0.3402,0.3309,0.3402,10899200.0
1991-12-19,0.3402,0.3402,0.3262,0.3262,7299200.0
1991-12-20,0.3262,0.3402,0.3262,0.3356,5235200.0
1991-12-23,0.3402,0.3402,0.3262,0.3332,7894400.0
1991-12-24,0.3286,0.3589,0.3262,0.3589,7129600.0
1991-12-26,0.3495,0.4101,0.3495,0.4101,8672000.0
1991-12-27,0.4148,0.4148,0.3868,0.3961,6396800.0
1991-12-30,0.3961,0.4055,0.3868,0.4055,6627200.0
1991-12-31,0.4055,0.4661,0.4008,0.4614,12572800.0
1992-01-02,0.4614,0.5173,0.4567,0.515,22121600.0
1992-01-03,0.5173,0.5313,0.5033,0.522,6092800.0
1992-01-06,0.536,0.536,0.4521,0.4894,15987200.0
1992-01-07,0.4847,0.4987,0.4707,0.4754,4940800.0
1992-01-08,0.48,0.48,0.4055,0.4194,36828800.0
1992-01-09,0.4334,0.4614,0.4288,0.4614,20809600.0
1992-01-10,0.4661,0.4707,0.4334,0.4474,7961600.0
1992-01-13,0.4567,0.4987,0.4427,0.4847,8499200.0
1992-01-14,0.4987,0.4987,0.48,0.4894,3628800.0
1992-01-15,0.4987,0.508,0.4847,0.494,5910400.0
1992-01-16,0.4987,0.5033,0.4614,0.48,3654400.0
1992-01-17,0.4707,0.4847,0.4707,0.4707,1574400.0
1992-01-20,0.4661,0.4754,0.4427,0.4661,3350400.0
1992-01-21,0.4754,0.4754,0.4381,0.4474,3724800.0
1992-01-22,0.4474,0.4661,0.4381,0.4661,5132800.0
1992-01-23,0.4754,0.4754,0.4381,0.4381,3248000.0
1992-01-24,0.4381,0.4521,0.4381,0.4427,355200.0
1992-01-27,0.4521,0.4521,0.4241,0.4334,2675200.0
1992-01-28,0.4334,0.4334,0.4101,0.4194,3673600.0
1992-01-29,0.4241,0.4381,0.4101,0.4288,1702400.0
1992-01-30,0.4241,0.4567,0.4241,0.4427,2505600.0
1992-01-31,0.4427,0.4474,0.4381,0.4474,1702400.0
1992-02-03,0.4474,0.48,0.4427,0.4591,2611200.0
1992-02-04,0.4614,0.48,0.4521,0.4661,4233600.0
1992-02-05,0.4614,0.4707,0.4614,0.4614,3280000.0
1992-02-06,0.4754,0.4754,0.4521,0.4521,7232000.0
1992-02-07,0.4661,0.4661,0.4055,0.4381,8979200.0
1992-02-10,0.4241,0.4381,0.4101,0.4194,4940800.0
1992-02-11,0.4241,0.4381,0.4148,0.4241,1667200.0
1992-02-12,0.4241,0.4614,0.4148,0.4474,3603200.0
1992-02-13,0.4567,0.4567,0.4241,0.4241,1398400.0
1992-02-14,0.4334,0.4334,0.4194,0.4334,2825600.0
1992-02-18,0.4334,0.4334,0.4148,0.4241,1078400.0
1992-02-19,0.4101,0.4241,0.4055,0.4101,1408000.0
1992-02-20,0.4101,0.4334,0.4101,0.4334,5705600.0
1992-02-21,0.4194,0.4334,0.3915,0.3915,3836800.0
1992-02-24,0.3915,0.4055,0.3449,0.3658,12384000.0
1992-02-25,0.3775,0.3868,0.3589,0.3728,3513600.0
1992-02-26,0.3915,0.3915,0.3728,0.3868,3200000.0
1992-02-27,0.3868,0.3868,0.3635,0.3775,1209600.0
1992-02-28,0.3822,0.3868,0.3682,0.3822,3011200.0
1992-03-02,0.3822,0.3868,0.3682,0.3822,1257600.0
1992-03-03,0.3868,0.3961,0.3682,0.3682,4022400.0
1992-03-04,0.3728,0.3728,0.3635,0.3635,5580800.0
1992-03-05,0.3682,0.3682,0.3495,0.3542,1920000.0
1992-03-06,0.3635,0.3635,0.3262,0.3449,6329600.0
1992-03-09,0.3495,0.3495,0.3262,0.3449,2809600.0
1992-03-10,0.3495,0.3682,0.3449,0.3682,1900800.0
1992-03-11,0.3682,0.3728,0.3402,0.3449,5577600.0
1992-03-12,0.3495,0.3682,0.3402,0.3589,1644800.0
1992-03-13,0.3542,0.3728,0.3495,0.3589,4976000.0
1992-03-16,0.3589,0.3589,0.3449,0.3449,739200.0
1992-03-17,0.3495,0.3635,0.3495,0.3495,1865600.0
1992-03-18,0.3682,0.3868,0.3635,0.3798,3753600.0
1992-03-19,0.3822,0.4055,0.3728,0.4055,6108800.0
1992-03-20,0.4101,0.4334,0.4101,0.4148,5392000.0
1992-03-23,0.4241,0.4288,0.3961,0.4008,5219200.0
1992-03-24,0.4148,0.4194,0.3961,0.4008,5760000.0
1992-03-25,0.4101,0.4148,0.4008,0.4101,3718400.0
1992-03-26,0.4194,0.4194,0.4055,0.4148,2089600.0
1992-03-27,0.4055,0.4148,0.4008,0.4008,1456000.0
1992-03-30,0.4008,0.4148,0.3868,0.4008,2339200.0
1992-03-31,0.3868,0.4334,0.3682,0.4288,5353600.0
1992-04-01,0.4008,0.4288,0.4008,0.4078,3868800.0
1992-04-02,0.4148,0.4148,0.3635,0.3868,2947200.0
1992-04-03,0.3775,0.4101,0.3775,0.3868,3414400.0
1992-04-06,0.3915,0.3961,0.3775,0.3938,2742400.0
1992-04-07,0.4055,0.4101,0.3915,0.3961,2579200.0
1992-04-08,0.3868,0.4101,0.3868,0.3961,3123200.0
1992-04-09,0.3961,0.4008,0.3845,0.3915,4313600.0
1992-04-10,0.4008,0.4008,0.3915,0.4008,592000.0
1992-04-13,0.4008,0.4148,0.3915,0.4101,2115200.0
1992-04-14,0.4148,0.4334,0.4101,0.4194,1955200.0
1992-04-15,0.4381,0.4427,0.4148,0.4334,6112000.0
1992-04-16,0.4427,0.4474,0.4264,0.4264,2646400.0
1992-04-20,0.4194,0.4567,0.4194,0.4288,3318400.0
1992-04-21,0.4474,0.4474,0.4288,0.4334,1952000.0
1992-04-22,0.4427,0.4474,0.4288,0.4474,2198400.0
1992-04-23,0.4381,0.4474,0.4194,0.4334,1555200.0
1992-04-24,0.4264,0.4334,0.4241,0.4241,2112000.0
1992-04-27,0.4334,0.4334,0.4194,0.4194,1984000.0
1992-04-28,0.4334,0.4334,0.3961,0.3961,1923200.0
1992-04-29,0.4055,0.4055,0.3961,0.4055,563200.0
1992-04-30,0.4055,0.4055,0.3822,0.3915,3433600.0
1992-05-01,0.3961,0.3961,0.3868,0.3961,1120000.0
1992-05-04,0.3961,0.4055,0.3868,0.3961,3014400.0
1992-05-05,0.4055,0.4101,0.3961,0.4008,300800.0
1992-05-06,0.4078,0.4101,0.3961,0.4008,1779200.0
1992-05-07,0.4101,0.4101,0.3961,0.3961,412800.0
1992-05-08,0.3961,0.4101,0.3961,0.3961,179200.0
1992-05-11,0.4101,0.4101,0.3868,0.3961,1318400.0
1992-05-12,0.3961,0.3961,0.3728,0.3728,1654400.0
1992-05-13,0.3822,0.3822,0.3542,0.3589,3331200.0
1992-05-14,0.3682,0.3682,0.3495,0.3589,6102400.0
1992-05-15,0.3542,0.3589,0.3449,0.3495,1612800.0
1992-05-18,0.3589,0.3589,0.3449,0.3472,2275200.0
1992-05-19,0.3542,0.3542,0.3449,0.3449,1500800.0
1992-05-20,0.3542,0.3542,0.3262,0.3309,7673600.0
1992-05-21,0.3356,0.3449,0.3216,0.3356,4457600.0
1992-05-22,0.3356,0.3449,0.3262,0.3402,1846400.0
1992-05-26,0.3449,0.3519,0.3309,0.3519,3257600.0
1992-05-27,0.3542,0.3542,0.3356,0.3379,4080000.0
1992-05-28,0.3356,0.3449,0.3356,0.3356,630400.0
1992-05-29,0.3449,0.3449,0.3356,0.3425,1504000.0
1992-06-01,0.3449,0.3589,0.3402,0.3542,2649600.0
1992-06-02,0.3589,0.3682,0.3449,0.3449,2208000.0
1992-06-03,0.3589,0.3635,0.3495,0.3635,3337600.0
1992-06-04,0.3728,0.3868,0.3589,0.3775,8780800.0
1992-06-05,0.3775,0.3822,0.3682,0.3775,1609600.0
1992-06-08,0.3682,0.3775,0.3495,0.3542,2060800.0
1992-06-09,0.3542,0.3542,0.3356,0.3402,2982400.0
1992-06-10,0.3356,0.3542,0.3262,0.3309,5728000.0
1992-06-11,0.3449,0.3542,0.3309,0.3495,11107200.0
1992-06-12,0.3589,0.3822,0.3472,0.3822,4480000.0
1992-06-15,0.3682,0.3868,0.3658,0.3822,3379200.0
1992-06-16,0.3775,0.3775,0.3635,0.3635,857600.0
1992-06-17,0.3635,0.3635,0.3309,0.3402,2147200.0
1992-06-18,0.3402,0.3495,0.3309,0.3332,4064000.0
1992-06-19,0.3402,0.3449,0.3309,0.3356,1315200.0
1992-06-22,0.3309,0.3449,0.3169,0.3286,2668800.0
1992-06-23,0.3309,0.3356,0.3216,0.3356,2051200.0
1992-06-24,0.3356,0.3402,0.3309,0.3309,496000.0
1992-06-25,0.3402,0.3449,0.3356,0.3356,1321600.0
1992-06-26,0.3449,0.3449,0.3356,0.3356,451200.0
1992-06-29,0.3495,0.3542,0.3449,0.3542,1881600.0
1992-06-30,0.3495,0.3635,0.3449,0.3635,1715200.0
1992-07-01,0.3635,0.3705,0.3495,0.3635,1414400.0
1992-07-02,0.3728,0.3775,0.3565,0.3589,1993600.0
1992-07-06,0.3635,0.3635,0.3495,0.3495,710400.0
1992-07-07,0.3589,0.3589,0.3495,0.3542,752000.0
1992-07-08,0.3495,0.3635,0.3495,0.3589,774400.0
1992-07-09,0.3542,0.3635,0.3495,0.3542,777600.0
1992-07-10,0.3542,0.3635,0.3495,0.3542,2630400.0
1992-07-13,0.3542,0.3589,0.3495,0.3495,300800.0
1992-07-14,0.3589,0.3589,0.3495,0.3589,428800.0
1992-07-15,0.3589,0.3589,0.3216,0.3332,13004800.0
1992-07-16,0.3309,0.3449,0.3309,0.3332,1001600.0
1992-07-17,0.3309,0.3449,0.3309,0.3332,777600.0
1992-07-20,0.3309,0.3309,0.3169,0.3216,2838400.0
1992-07-21,0.3309,0.3309,0.2843,0.2959,8291200.0
1992-07-22,0.2983,0.2983,0.2796,0.282,11747200.0
1992-07-23,0.2796,0.3029,0.2796,0.3029,1884800.0
1992-07-24,0.2983,0.2983,0.289,0.289,1491200.0
1992-07-27,0.2983,0.3029,0.2936,0.2936,1593600.0
1992-07-28,0.3029,0.3262,0.2983,0.3216,4758400.0
1992-07-29,0.3262,0.3286,0.3169,0.3216,4019200.0
1992-07-30,0.3169,0.3309,0.3169,0.3262,2569600.0
1992-07-31,0.3309,0.3309,0.3169,0.3309,5424000.0
1992-08-03,0.3309,0.3402,0.3262,0.3309,1891200.0
1992-08-04,0.3402,0.3402,0.3262,0.3262,1555200.0
1992-08-05,0.3169,0.3262,0.3076,0.3099,1139200.0
1992-08-06,0.3169,0.3169,0.289,0.289,2902400.0
1992-08-07,0.289,0.3029,0.289,0.3029,992000.0
1992-08-10,0.3029,0.3029,0.2936,0.2936,697600.0
1992-08-11,0.3029,0.3029,0.2936,0.2936,1587200.0
1992-08-12,0.3029,0.3029,0.2936,0.3029,1267200.0
1992-08-13,0.3029,0.3029,0.2936,0.3029,1209600.0
1992-08-14,0.3029,0.3029,0.2936,0.3029,528000.0
1992-08-17,0.2983,0.3123,0.2936,0.2983,1110400.0
1992-08-18,0.3076,0.3076,0.2936,0.2983,246400.0
1992-08-19,0.3076,0.3076,0.2843,0.289,1856000.0
1992-08-20,0.2983,0.2983,0.2843,0.289,4016000.0
1992-08-21,0.2936,0.2983,0.2843,0.289,2390400.0
1992-08-24,0.2843,0.2983,0.2843,0.2843,1260800.0
1992-08-25,0.2843,0.2983,0.2843,0.2866,659200.0
1992-08-26,0.2843,0.2983,0.2843,0.2843,412800.0
1992-08-27,0.2983,0.2983,0.2843,0.289,774400.0
1992-08-28,0.2983,0.2983,0.2843,0.2983,134400.0
1992-08-31,0.2913,0.2983,0.2843,0.2866,486400.0
1992-09-01,0.2936,0.2936,0.2843,0.289,2883200.0
1992-09-02,0.2843,0.3029,0.2843,0.3029,92800.0
1992-09-03,0.289,0.3029,0.289,0.3006,4720000.0
1992-09-04,0.3029,0.3029,0.2936,0.2936,1820800.0
1992-09-08,0.2936,0.3029,0.289,0.289,1862400.0
1992-09-09,0.2936,0.3029,0.2866,0.2866,3600000.0
1992-09-10,0.2843,0.2843,0.2703,0.2843,6096000.0
1992-09-11,0.2703,0.2843,0.2703,0.2703,1609600.0
1992-09-14,0.2843,0.2843,0.2703,0.2726,2246400.0
1992-09-15,0.2796,0.2796,0.2563,0.261,2947200.0
1992-09-16,0.261,0.261,0.2423,0.2517,5097600.0
1992-09-17,0.2563,0.2656,0.2563,0.2563,2224000.0
1992-09-18,0.2656,0.2703,0.2563,0.2656,2092800.0
1992-09-21,0.2656,0.2656,0.247,0.2517,2947200.0
1992-09-22,0.247,0.261,0.233,0.247,3654400.0
1992-09-23,0.247,0.2517,0.233,0.2447,3980800.0
1992-09-24,0.2423,0.2656,0.2423,0.2656,4643200.0
1992-09-25,0.2656,0.2656,0.2517,0.2587,1804800.0
1992-09-28,0.2656,0.2656,0.2517,0.2563,4886400.0
1992-09-29,0.247,0.261,0.247,0.2563,5763200.0
1992-09-30,0.289,0.3402,0.2796,0.3356,29603200.0
1992-10-01,0.3402,0.3449,0.3169,0.3216,13654400.0
1992-10-02,0.3309,0.3309,0.3029,0.3169,1785600.0
1992-10-05,0.3169,0.3262,0.2983,0.3216,3696000.0
1992-10-06,0.3262,0.3728,0.3169,0.3589,7840000.0
1992-10-07,0.3728,0.3961,0.3589,0.3775,15251200.0
1992-10-08,0.3775,0.3822,0.3635,0.3822,7385600.0
1992-10-09,0.3822,0.3822,0.3635,0.3682,7398400.0
1992-10-12,0.3775,0.3915,0.3635,0.3822,5132800.0
1992-10-13,0.3822,0.3915,0.3728,0.3775,3923200.0
1992-10-14,0.3822,0.3822,0.3682,0.3682,1308800.0
1992-10-15,0.3822,0.3961,0.3682,0.3822,5321600.0
1992-10-16,0.3915,0.4614,0.3822,0.4381,15766400.0
1992-10-19,0.4474,0.4521,0.4241,0.4241,5532800.0
1992-10-20,0.4427,0.4474,0.4241,0.4404,4726400.0
1992-10-21,0.4474,0.4614,0.4334,0.4614,6848000.0
1992-10-22,0.4521,0.4661,0.4474,0.4661,2755200.0
1992-10-23,0.4661,0.4707,0.4521,0.4614,13619200.0
1992-10-26,0.4614,0.4707,0.4521,0.4661,1868800.0
1992-10-27,0.4521,0.4614,0.4055,0.4241,15824000.0
1992-10-28,0.4241,0.4661,0.4101,0.4567,6908800.0
1992-10-29,0.4661,0.4707,0.4521,0.4567,4691200.0
1992-10-30,0.4567,0.4707,0.4427,0.4567,3779200.0
1992-11-02,0.4427,0.4614,0.4288,0.4567,4521600.0
1992-11-03,0.4567,0.4614,0.4427,0.4614,3212800.0
1992-11-04,0.4567,0.4707,0.4567,0.4707,5862400.0
1992-11-05,0.4661,0.4987,0.4661,0.494,26240000.0
1992-11-06,0.4987,0.4987,0.4521,0.4661,9027200.0
1992-11-09,0.4521,0.4754,0.4521,0.473,3916800.0
1992-11-10,0.4754,0.494,0.4754,0.494,5200000.0
1992-11-11,0.494,0.5033,0.48,0.5033,6598400.0
1992-11-12,0.5033,0.5033,0.4754,0.494,3888000.0
1992-11-13,0.494,0.5033,0.4847,0.4987,4169600.0
1992-11-16,0.5033,0.5033,0.4894,0.4987,851200.0
1992-11-17,0.4987,0.508,0.4847,0.4987,3420800.0
1992-11-18,0.508,0.5266,0.494,0.5266,7456000.0
1992-11-19,0.5313,0.5453,0.5173,0.5266,9804800.0
1992-11-20,0.5266,0.536,0.5173,0.5266,6198400.0
