date,open,high,low,close,volume
1993-04-28,5.7038,5.86,5.6256,5.7038,7821000.0
1993-04-29,5.7038,5.821,5.7038,5.821,2118800.0
1993-04-30,5.86,5.86,5.7038,5.7428,536800.0
1993-05-03,5.7038,5.7428,5.6647,5.7428,509600.0
1993-05-04,5.7428,5.7428,5.5866,5.6647,787400.0
1993-05-05,5.6256,5.6647,5.5475,5.5475,747200.0
1993-05-06,5.5866,5.6256,5.5084,5.5084,392800.0
1993-05-07,5.5475,5.5866,5.5084,5.5475,180000.0
1993-05-10,5.5866,5.6647,5.5475,5.5475,269600.0
1993-05-11,5.5866,5.5866,5.5475,5.5866,109400.0
1993-05-12,5.5475,5.5475,5.4303,5.5084,110800.0
1993-05-13,5.5084,5.5084,5.4694,5.4694,171000.0
1993-05-14,5.4694,5.5475,5.4694,5.4694,166800.0
1993-05-17,5.4694,5.4694,5.3522,5.3912,132000.0
1993-05-18,5.3912,5.3912,5.0006,5.1568,534400.0
1993-05-19,5.235,5.3522,5.235,5.274,203600.0
1993-05-20,5.1959,5.235,4.9615,5.0787,1189000.0
1993-05-21,5.1178,5.1568,5.0006,5.1178,475600.0
1993-05-24,5.1568,5.1568,5.0006,5.0787,719200.0
1993-05-25,5.0006,5.0396,4.8834,4.9615,326600.0
1993-05-26,5.0006,5.1959,5.0006,5.1568,209200.0
1993-05-27,5.235,5.3522,5.1568,5.3131,307800.0
1993-05-28,5.3912,5.5084,5.274,5.4303,986400.0
1993-06-01,5.4694,5.4694,5.274,5.3131,116800.0
1993-06-02,5.3131,5.4303,5.274,5.4303,205200.0
1993-06-03,5.4303,5.4303,5.3131,5.3131,92000.0
1993-06-04,5.3522,5.3912,5.3131,5.3522,118200.0
1993-06-07,5.3131,5.4303,5.3131,5.3912,60000.0
1993-06-08,5.3912,5.3912,5.3131,5.3522,298200.0
1993-06-09,5.3522,5.3522,5.274,5.274,27400.0
1993-06-10,5.274,5.3912,5.274,5.3522,153600.0
1993-06-11,5.4303,5.5084,5.3522,5.5084,84200.0
1993-06-14,5.5866,5.6256,5.4694,5.5866,434000.0
1993-06-15,5.5475,5.7038,5.5084,5.5475,169600.0
1993-06-16,5.5475,5.6647,5.5475,5.5866,288200.0
1993-06-17,5.6256,5.6256,5.5084,5.5866,165400.0
1993-06-18,5.5866,5.6256,5.5084,5.5475,89400.0
1993-06-21,5.5084,5.5866,5.5084,5.5475,34200.0
1993-06-22,5.5866,5.6647,5.5084,5.5475,143000.0
1993-06-23,5.5475,5.6256,5.4694,5.4694,23600.0
1993-06-24,5.4694,5.6256,5.4694,5.5084,58200.0
1993-06-25,5.5084,5.7819,5.5084,5.7428,370000.0
1993-06-28,5.7428,6.0163,5.6647,5.9773,135200.0
1993-06-29,6.0944,6.0944,5.8991,5.9382,575600.0
1993-06-30,5.9382,5.9382,5.86,5.9382,132000.0
1993-07-01,5.9382,6.0163,5.8991,6.0163,120800.0
1993-07-02,6.0163,6.0944,5.9382,5.9382,239400.0
1993-07-06,5.9382,6.0163,5.821,5.821,87200.0
1993-07-07,5.86,5.86,5.7428,5.7819,74400.0
1993-07-08,5.821,5.9772,5.7819,5.9382,104000.0
1993-07-09,5.9382,5.9772,5.8991,5.9382,302600.0
1993-07-12,5.9772,5.9772,5.8991,5.9382,98200.0
1993-07-13,5.9382,5.9772,5.8991,5.9382,212400.0
1993-07-14,5.9382,6.0944,5.9382,6.0944,153200.0
1993-07-15,6.0944,6.0944,6.0554,6.0944,133800.0
1993-07-16,6.0944,6.0944,6.0163,6.0944,126000.0
1993-07-19,6.0554,6.1335,6.0554,6.0944,244800.0
1993-07-20,6.0944,6.0944,6.0554,6.0944,111000.0
1993-07-21,6.1335,6.2117,6.0945,6.2117,117400.0
1993-07-22,6.2116,6.3289,6.2116,6.2898,240600.0
1993-07-23,6.2898,6.3288,6.1726,6.1726,138200.0
1993-07-26,6.1726,6.2898,6.0944,6.2898,236200.0
1993-07-27,6.3288,6.4461,6.3288,6.407,259200.0
1993-07-28,6.7195,6.993,6.6805,6.9149,583200.0
1993-07-29,6.993,7.3055,6.9539,7.1493,344800.0
1993-07-30,7.1883,7.3055,7.1493,7.3055,217800.0
1993-08-02,7.3055,7.4227,7.2665,7.2665,511400.0
1993-08-03,7.2665,7.2665,6.9539,7.1883,161000.0
1993-08-04,7.1102,7.4227,7.1102,7.3837,129200.0
1993-08-05,7.4227,7.6962,7.4227,7.6181,270200.0
1993-08-06,7.5399,7.579,7.4227,7.4618,397600.0
1993-08-09,7.4618,7.5399,7.4227,7.5009,148200.0
1993-08-10,7.5009,7.5009,7.2665,7.3055,104000.0
1993-08-11,7.3055,7.4227,7.3055,7.3446,77400.0
1993-08-12,7.3446,7.3446,7.1493,7.3446,64000.0
1993-08-13,7.3446,7.3446,7.2274,7.3055,17600.0
1993-08-16,7.3055,7.3446,7.1883,7.3446,119600.0
1993-08-17,7.2665,7.4618,7.2665,7.4618,82800.0
1993-08-18,7.5009,7.6571,7.5009,7.5009,98800.0
1993-08-19,7.5009,7.579,7.3837,7.579,96600.0
1993-08-20,7.5009,7.5399,7.3837,7.5009,43600.0
1993-08-23,7.4618,7.5009,7.4227,7.5009,280200.0
1993-08-24,7.5009,7.6181,7.5009,7.5399,279000.0
1993-08-25,7.5399,7.6962,7.5399,7.6962,97600.0
1993-08-26,7.6742,7.6742,7.5167,7.5561,258600.0
1993-08-27,7.5954,7.5954,7.2019,7.2806,315800.0
1993-08-30,7.2413,7.438,7.2413,7.438,31600.0
1993-08-31,7.4774,7.5167,7.438,7.4774,58600.0
1993-09-01,7.4774,7.6348,7.3987,7.5954,104000.0
1993-09-02,7.5954,7.8316,7.5954,7.8316,174600.0
1993-09-03,7.8316,7.8709,7.6742,7.7135,349000.0
1993-09-07,7.5954,7.7135,7.5954,7.6742,86200.0
1993-09-08,7.6742,7.6742,7.5561,7.5954,123000.0
1993-09-09,7.5167,7.5954,7.4774,7.5167,41200.0
1993-09-10,7.438,7.4774,7.3593,7.3987,126000.0
1993-09-13,7.4774,7.4774,7.3987,7.438,143600.0
1993-09-14,7.3987,7.3987,7.1232,7.2019,412400.0
1993-09-15,7.1232,7.2019,7.0838,7.2019,195200.0
1993-09-16,7.2019,7.32,7.1625,7.2806,125400.0
1993-09-17,7.2413,7.32,7.2413,7.2806,227600.0
1993-09-20,7.3593,7.4774,7.3593,7.4774,48200.0
1993-09-21,7.438,7.5167,7.2806,7.2806,17600.0
1993-09-22,7.2806,7.3593,7.2413,7.3593,47800.0
1993-09-23,7.3987,7.6348,7.3987,7.5561,218600.0
1993-09-24,7.5954,7.6348,7.5167,7.5561,43600.0
1993-09-27,7.5954,7.6348,7.4774,7.5167,44600.0
1993-09-28,7.5167,7.5561,7.438,7.5561,24200.0
1993-09-29,7.6348,7.6348,7.5561,7.6348,16800.0
1993-09-30,7.5954,7.7922,7.5954,7.7135,36000.0
1993-10-01,7.7135,7.8316,7.5561,7.5561,87200.0
1993-10-04,7.5561,7.5954,7.5167,7.5167,87600.0
1993-10-05,7.5167,7.5561,7.4774,7.5167,20400.0
1993-10-06,7.5561,7.7135,7.5561,7.7135,29400.0
1993-10-07,7.7135,7.7922,7.6348,7.6742,50400.0
1993-10-08,7.6742,7.6742,7.3987,7.438,287000.0
1993-10-11,7.4774,7.5954,7.4774,7.5561,9000.0
1993-10-12,7.5561,7.6742,7.5561,7.5954,11000.0
1993-10-13,7.6742,7.6742,7.5561,7.5561,26200.0
1993-10-14,7.5561,7.5561,7.3593,7.438,50600.0
1993-10-15,7.438,7.438,7.2806,7.3987,146000.0
1993-10-18,7.5561,8.0677,7.5561,8.0283,500800.0
1993-10-19,7.989,7.989,7.7922,7.9103,179400.0
1993-10-20,7.8709,7.8709,7.6742,7.7135,159800.0
1993-10-21,7.7135,7.9496,7.7135,7.9103,84200.0
1993-10-22,7.9103,8.0283,7.8709,8.0283,157400.0
1993-10-25,8.0283,8.5006,8.0283,8.2645,230200.0
1993-10-26,8.3038,8.5793,8.1858,8.3432,145400.0
1993-10-27,8.4219,8.658,8.4219,8.5006,426600.0
1993-10-28,8.5006,8.658,8.4612,8.5006,369800.0
1993-10-29,8.5006,8.5006,8.3432,8.3432,81600.0
1993-11-01,8.3038,8.5793,8.3038,8.5006,121600.0
1993-11-02,8.4219,8.4612,8.1858,8.3038,98200.0
1993-11-03,8.3038,8.3038,8.1858,8.2251,16200.0
1993-11-04,8.1858,8.1858,8.0283,8.0283,21200.0
1993-11-05,7.9496,7.9496,7.3987,7.7922,102000.0
1993-11-08,7.7922,7.9103,7.7922,7.8316,35000.0
1993-11-09,7.8316,7.9496,7.8316,7.8709,161200.0
1993-11-10,7.8709,8.0677,7.8316,8.0283,175000.0
1993-11-11,8.0677,8.1071,8.0283,8.0677,116400.0
1993-11-12,8.0677,8.1071,8.0283,8.0677,21000.0
1993-11-15,8.0677,8.2251,7.989,8.2251,17800.0
1993-11-16,8.4219,8.4219,8.3038,8.3432,115600.0
1993-11-17,8.3825,8.4219,8.2645,8.3432,53200.0
1993-11-18,8.3432,8.3432,8.0677,8.0677,69200.0
1993-11-19,8.1071,8.1071,7.989,8.0677,16400.0
1993-11-22,8.0677,8.0677,7.7529,7.8709,29600.0
1993-11-23,7.8709,7.8709,7.7922,7.7922,7600.0
1993-11-24,7.8602,8.1761,7.8602,8.1761,24600.0
1993-11-26,8.1761,8.1761,8.1761,8.1761,2000.0
1993-11-29,8.2156,8.2156,8.0577,8.1761,19600.0
1993-11-30,8.0971,8.1761,8.0971,8.1366,7400.0
1993-12-01,8.1366,8.2156,8.1366,8.1761,36400.0
1993-12-02,8.1761,8.1761,8.0971,8.1366,30800.0
1993-12-03,8.0971,8.2156,8.0971,8.1761,30600.0
1993-12-06,8.2156,8.2156,7.9392,8.0182,27000.0
1993-12-07,7.9392,8.0181,7.8602,7.8997,11000.0
1993-12-08,7.8997,8.0182,7.8602,8.0182,10200.0
1993-12-09,8.0182,8.0576,7.9787,8.0576,62400.0
1993-12-10,8.0576,8.0576,7.9392,8.0576,20000.0
1993-12-13,7.9787,8.0576,7.9787,8.0576,8000.0
1993-12-14,7.9787,7.9787,7.8602,7.9392,13800.0
1993-12-15,7.8997,7.9392,7.7812,7.7812,6000.0
1993-12-16,7.7417,7.7417,7.4257,7.6627,126000.0
1993-12-17,7.7417,7.8207,7.6627,7.7417,56800.0
1993-12-20,7.6627,7.8997,7.6627,7.8207,46200.0
1993-12-21,7.8207,7.9392,7.8207,7.9392,15200.0
1993-12-22,7.8997,7.8997,7.8207,7.8602,199400.0
1993-12-23,7.8997,8.0971,7.8997,8.0576,67400.0
1993-12-27,8.0577,8.1761,8.0577,8.1761,18200.0
1993-12-28,8.2156,8.4526,8.2156,8.4526,55800.0
1993-12-29,8.3341,8.4526,8.2946,8.2946,41800.0
