date,open,high,low,close,volume
1962-04-02,0.0891,0.0901,0.0891,0.0898,228816.0
1962-04-03,0.0896,0.0896,0.0873,0.0878,205934.0
1962-04-04,0.0878,0.0885,0.0854,0.0857,320342.0
1962-04-05,0.0857,0.0861,0.0831,0.0859,488141.0
1962-04-06,0.0854,0.0854,0.0831,0.0831,175426.0
1962-04-09,0.0831,0.0854,0.0831,0.0831,175426.0
1962-04-10,0.0831,0.0841,0.0824,0.0831,228816.0
1962-04-11,0.0831,0.0848,0.0827,0.0838,442378.0
1962-04-12,0.0838,0.0838,0.082,0.0831,266952.0
1962-04-13,0.0831,0.0859,0.0831,0.0859,327970.0
1962-04-16,0.0859,0.0859,0.0845,0.0848,282206.0
1962-04-17,0.0848,0.085,0.0845,0.0845,99154.0
1962-04-18,0.0852,0.0868,0.0852,0.0857,152544.0
1962-04-19,0.0857,0.0861,0.085,0.0861,122035.0
1962-04-23,0.0861,0.0882,0.0854,0.0882,358478.0
1962-04-24,0.0882,0.0896,0.0878,0.0885,282206.0
1962-04-25,0.0878,0.0878,0.0841,0.0845,274579.0
1962-04-26,0.085,0.0866,0.085,0.085,129662.0
1962-04-27,0.085,0.0864,0.0845,0.085,198307.0
1962-04-30,0.0845,0.0845,0.0827,0.0831,358478.0
1962-05-01,0.0831,0.0843,0.082,0.0843,244070.0
1962-05-02,0.0848,0.0878,0.0848,0.0873,488141.0
1962-05-03,0.0873,0.0878,0.0859,0.0878,228816.0
1962-05-04,0.0868,0.0868,0.0857,0.0868,259325.0
1962-05-07,0.0868,0.0871,0.0864,0.0864,343224.0
1962-05-08,0.0866,0.0882,0.0866,0.088,572040.0
1962-05-09,0.0878,0.0878,0.0861,0.0868,419496.0
1962-05-10,0.0868,0.0868,0.0854,0.0857,320342.0
1962-05-11,0.0857,0.0864,0.0841,0.0841,335597.0
1962-05-14,0.085,0.0876,0.0836,0.0876,511022.0
1962-05-15,0.0878,0.0897,0.0878,0.0883,480514.0
1962-05-16,0.0883,0.0894,0.0883,0.0885,266952.0
1962-05-17,0.0885,0.0894,0.0859,0.088,411869.0
1962-05-18,0.088,0.0908,0.088,0.0904,640685.0
1962-05-21,0.0904,0.0911,0.0887,0.0897,228816.0
1962-05-22,0.0894,0.0894,0.0873,0.0878,228816.0
1962-05-23,0.0878,0.0878,0.0852,0.0855,396614.0
1962-05-24,0.0855,0.0869,0.0852,0.0852,427123.0
1962-05-25,0.0852,0.0869,0.085,0.0859,480514.0
1962-05-28,0.0859,0.0869,0.0738,0.0738,1212725.0
1962-05-29,0.0738,0.0834,0.0731,0.0803,1426286.0
1962-05-31,0.0836,0.0859,0.0836,0.0859,1533067.0
1962-06-01,0.0845,0.0845,0.0808,0.0845,724584.0
1962-06-04,0.0845,0.0845,0.0817,0.0822,564413.0
1962-06-05,0.0822,0.0822,0.0794,0.0822,587294.0
1962-06-06,0.0822,0.0845,0.0822,0.0822,617803.0
1962-06-07,0.082,0.082,0.0808,0.0808,175426.0
1962-06-08,0.0808,0.0815,0.0799,0.0806,213562.0
1962-06-11,0.0806,0.0808,0.0775,0.0789,671194.0
1962-06-12,0.0787,0.0787,0.0764,0.0764,587294.0
1962-06-13,0.0764,0.0782,0.0761,0.0761,472886.0
1962-06-14,0.0764,0.0782,0.0764,0.0766,480514.0
1962-06-15,0.0766,0.078,0.0747,0.078,617803.0
1962-06-18,0.0787,0.0803,0.0787,0.0794,320342.0
1962-06-19,0.0794,0.0799,0.0778,0.0794,274579.0
1962-06-20,0.0794,0.0803,0.0761,0.0761,251698.0
1962-06-21,0.0761,0.0761,0.074,0.0747,335597.0
1962-06-22,0.0747,0.0764,0.0731,0.0731,434750.0
1962-06-25,0.0731,0.0752,0.0715,0.0738,556786.0
1962-06-26,0.0752,0.0775,0.0752,0.0752,343224.0
1962-06-27,0.0752,0.0761,0.0745,0.0761,167798.0
1962-06-28,0.0773,0.0794,0.0773,0.0794,533904.0
1962-06-29,0.0799,0.081,0.0799,0.0803,388987.0
1962-07-02,0.0803,0.081,0.0794,0.0806,221189.0
1962-07-03,0.0806,0.0817,0.0801,0.081,251698.0
1962-07-05,0.081,0.0813,0.0806,0.081,144917.0
1962-07-06,0.0808,0.0808,0.0785,0.0787,175426.0
1962-07-09,0.0787,0.0796,0.0778,0.0794,106781.0
1962-07-10,0.0806,0.0831,0.0806,0.082,678821.0
1962-07-11,0.082,0.0831,0.0806,0.0831,251698.0
1962-07-12,0.0831,0.0838,0.0817,0.0817,198307.0
1962-07-13,0.0817,0.0824,0.0808,0.0817,244070.0
1962-07-16,0.0817,0.0822,0.081,0.0817,106781.0
1962-07-17,0.0822,0.0829,0.0822,0.0822,259325.0
1962-07-18,0.0813,0.0813,0.0803,0.0803,144917.0
1962-07-19,0.0803,0.0813,0.0803,0.0808,68645.0
1962-07-20,0.0813,0.082,0.0813,0.0815,76272.0
1962-07-23,0.0815,0.0822,0.0808,0.081,251698.0
1962-07-24,0.081,0.082,0.0808,0.0808,144917.0
1962-07-25,0.0803,0.0803,0.0799,0.0801,91526.0
1962-07-26,0.0801,0.0808,0.0799,0.0801,99154.0
1962-07-27,0.0801,0.0822,0.0789,0.0813,251698.0
1962-07-30,0.0822,0.0827,0.0822,0.0824,68645.0
1962-07-31,0.0824,0.0845,0.0817,0.0841,282206.0
1962-08-01,0.0841,0.0841,0.0824,0.0829,373733.0
1962-08-02,0.0834,0.0845,0.0834,0.0845,411869.0
1962-08-03,0.0845,0.0855,0.0838,0.0855,373733.0
1962-08-06,0.0855,0.0864,0.0855,0.0859,457632.0
1962-08-07,0.0859,0.0864,0.0855,0.0864,282206.0
1962-08-08,0.0862,0.0862,0.0841,0.0852,160171.0
1962-08-09,0.0852,0.0859,0.0841,0.0841,259325.0
1962-08-10,0.0841,0.0857,0.0831,0.085,236443.0
1962-08-13,0.0859,0.0888,0.085,0.0878,556786.0
1962-08-14,0.0878,0.0883,0.0871,0.0878,190680.0
1962-08-15,0.0883,0.0897,0.0883,0.0888,396614.0
1962-08-16,0.0888,0.0916,0.0881,0.09,838992.0
1962-08-17,0.09,0.0914,0.09,0.0907,655939.0
1962-08-20,0.0909,0.0923,0.0909,0.0911,640685.0
1962-08-21,0.0911,0.093,0.0911,0.0918,594922.0
1962-08-22,0.0918,0.0959,0.0911,0.0944,1182216.0
1962-08-23,0.0944,0.0954,0.0916,0.0935,640685.0
1962-08-24,0.0935,0.0942,0.0928,0.094,404242.0
1962-08-27,0.094,0.0947,0.0933,0.0937,518650.0
1962-08-28,0.0937,0.094,0.0921,0.0921,450005.0
1962-08-29,0.0921,0.0921,0.0909,0.0921,183053.0
1962-08-30,0.0914,0.0914,0.0897,0.0911,388987.0
1962-08-31,0.0909,0.0909,0.0897,0.0907,526277.0
1962-09-04,0.0907,0.0909,0.0907,0.0907,129662.0
1962-09-05,0.0902,0.0902,0.0883,0.0892,259325.0
1962-09-06,0.0885,0.0885,0.0871,0.0883,213562.0
1962-09-07,0.0885,0.0897,0.0885,0.0888,114408.0
1962-09-10,0.0888,0.0897,0.0881,0.0897,167798.0
1962-09-11,0.09,0.0921,0.09,0.0911,617803.0
1962-09-12,0.0911,0.0921,0.0907,0.0916,320342.0
1962-09-13,0.0916,0.0926,0.0911,0.0921,228816.0
1962-09-14,0.0921,0.0935,0.0921,0.0923,137290.0
1962-09-17,0.0926,0.0951,0.0926,0.0947,579667.0
1962-09-18,0.0947,0.0954,0.0935,0.0935,533904.0
1962-09-19,0.0935,0.0942,0.0926,0.0935,343224.0
1962-09-20,0.0935,0.0935,0.0916,0.0916,289834.0
1962-09-21,0.0916,0.0918,0.0895,0.0895,190680.0
1962-09-24,0.0895,0.0902,0.0874,0.089,404242.0
1962-09-25,0.089,0.0909,0.0888,0.0907,259325.0
1962-09-26,0.0907,0.0907,0.0888,0.0892,266952.0
1962-09-27,0.0888,0.0888,0.0869,0.0869,373733.0
1962-09-28,0.0876,0.089,0.0876,0.0888,244070.0
1962-10-01,0.0876,0.0876,0.085,0.0864,350851.0
1962-10-02,0.0864,0.0888,0.0864,0.0888,366106.0
1962-10-03,0.0888,0.0895,0.0862,0.0866,297461.0
1962-10-04,0.0864,0.0864,0.0852,0.0864,160171.0
1962-10-05,0.0871,0.0883,0.0871,0.0876,343224.0
1962-10-08,0.0888,0.0892,0.0888,0.0892,114408.0
1962-10-09,0.0892,0.0892,0.0888,0.089,68645.0
1962-10-10,0.089,0.0904,0.0881,0.0881,183053.0
1962-10-11,0.0888,0.0897,0.0888,0.0888,106781.0
1962-10-12,0.0892,0.0916,0.0892,0.0916,221189.0
1962-10-15,0.0916,0.0921,0.0907,0.0911,244070.0
1962-10-16,0.0911,0.0923,0.0904,0.0904,198307.0
1962-10-17,0.0904,0.0921,0.0895,0.0921,259325.0
1962-10-18,0.0921,0.0923,0.0883,0.089,183053.0
1962-10-19,0.089,0.09,0.0864,0.0876,274579.0
1962-10-22,0.0876,0.0883,0.0859,0.0869,350851.0
1962-10-23,0.0871,0.0914,0.0871,0.0885,671194.0
1962-10-24,0.0885,0.0902,0.0859,0.0895,541531.0
1962-10-25,0.0885,0.0885,0.0874,0.0883,183053.0
1962-10-26,0.089,0.0902,0.089,0.089,297461.0
1962-10-29,0.089,0.0911,0.0885,0.0892,579667.0
1962-10-30,0.0892,0.0902,0.0885,0.09,160171.0
1962-10-31,0.0902,0.094,0.0902,0.0923,1677984.0
1962-11-01,0.0923,0.093,0.0907,0.0926,343224.0
1962-11-02,0.0926,0.0982,0.0926,0.098,2326296.0
1962-11-05,0.098,0.1006,0.098,0.0989,1418659.0
1962-11-07,0.0989,0.1022,0.0989,0.1003,1441541.0
1962-11-08,0.1003,0.1003,0.0975,0.0992,1441541.0
1962-11-09,0.1001,0.1008,0.0984,0.1004,488141.0
1962-11-12,0.1004,0.1006,0.0992,0.0994,739838.0
1962-11-13,0.0992,0.0992,0.0968,0.0973,648312.0
1962-11-14,0.0973,0.0992,0.0968,0.0984,427123.0
1962-11-15,0.0984,0.1008,0.0984,0.1008,1060181.0
1962-11-16,0.1008,0.102,0.1001,0.1004,1136453.0
1962-11-19,0.1004,0.1018,0.0992,0.1011,1060181.0
1962-11-20,0.1011,0.1023,0.0999,0.102,640685.0
1962-11-21,0.102,0.102,0.1008,0.1013,678821.0
1962-11-23,0.1013,0.1023,0.1008,0.1018,465259.0
1962-11-26,0.1018,0.1037,0.0999,0.1001,1266115.0
1962-11-27,0.1001,0.1018,0.0984,0.1013,678821.0
1962-11-28,0.1013,0.1018,0.1006,0.1006,305088.0
1962-11-29,0.1006,0.1015,0.1001,0.1006,198307.0
1962-11-30,0.1006,0.1011,0.1004,0.1008,472886.0
1962-12-03,0.1008,0.1013,0.1008,0.1011,251698.0
1962-12-04,0.1011,0.1027,0.1004,0.1025,450005.0
1962-12-05,0.103,0.1046,0.103,0.1039,1433914.0
1962-12-06,0.1035,0.1035,0.1015,0.1027,335597.0
1962-12-07,0.1025,0.1025,0.1001,0.1001,434750.0
1962-12-10,0.1001,0.1001,0.0992,0.0992,213562.0
1962-12-11,0.0992,0.0996,0.0977,0.0992,213562.0
1962-12-12,0.0992,0.1001,0.0984,0.0992,205934.0
1962-12-13,0.0992,0.0992,0.0982,0.0982,122035.0
1962-12-14,0.0982,0.0984,0.0973,0.0982,282206.0
1962-12-17,0.098,0.098,0.0953,0.0953,259325.0
1962-12-18,0.0953,0.097,0.0953,0.0965,282206.0
1962-12-19,0.0965,0.0965,0.0956,0.0965,114408.0
1962-12-20,0.0965,0.0992,0.0963,0.0982,289834.0
1962-12-21,0.0982,0.0992,0.0982,0.0982,465259.0
1962-12-24,0.0982,0.0989,0.0982,0.0989,160171.0
1962-12-26,0.0989,0.0992,0.0982,0.0982,335597.0
1962-12-27,0.0982,0.0982,0.0977,0.098,114408.0
1962-12-28,0.098,0.0987,0.0975,0.0977,198307.0
1962-12-31,0.0977,0.0992,0.0975,0.0989,305088.0
1963-01-02,0.0989,0.0989,0.0977,0.0977,236443.0
1963-01-03,0.0977,0.0989,0.0968,0.0989,350851.0
1963-01-04,0.0994,0.1004,0.0994,0.0994,327970.0
1963-01-07,0.0994,0.1006,0.0992,0.0992,236443.0
1963-01-08,0.0992,0.1027,0.0992,0.1011,465259.0
1963-01-09,0.1011,0.1015,0.0987,0.0987,396614.0
1963-01-10,0.0987,0.0999,0.0977,0.0984,373733.0
1963-01-11,0.0984,0.1023,0.0984,0.1018,282206.0
1963-01-14,0.1018,0.1023,0.1001,0.1008,244070.0
1963-01-15,0.1008,0.1025,0.1006,0.1013,289834.0
1963-01-16,0.1008,0.1008,0.0992,0.1004,129662.0
1963-01-17,0.1004,0.1011,0.0999,0.1004,160171.0
1963-01-18,0.1004,0.1018,0.0987,0.0989,442378.0
1963-01-21,0.0989,0.0994,0.0982,0.0994,266952.0
1963-01-22,0.0994,0.1001,0.098,0.0987,228816.0
1963-01-23,0.0987,0.0989,0.0977,0.098,327970.0
1963-01-24,0.098,0.0982,0.097,0.097,320342.0
1963-01-25,0.097,0.0977,0.0934,0.0942,655939.0
1963-01-28,0.0942,0.0956,0.0934,0.0951,503395.0
1963-01-29,0.0951,0.0951,0.0934,0.0949,488141.0
1963-01-30,0.0949,0.0961,0.0939,0.0956,327970.0
1963-01-31,0.0956,0.0965,0.0949,0.0953,251698.0
1963-02-01,0.0953,0.0953,0.0942,0.0942,251698.0
1963-02-04,0.0942,0.0958,0.0942,0.0951,274579.0
1963-02-05,0.0951,0.0951,0.0927,0.0944,68645.0
1963-02-06,0.0944,0.0951,0.0937,0.0944,175426.0
1963-02-07,0.0944,0.0965,0.0932,0.0932,236443.0
1963-02-08,0.0942,0.0946,0.0934,0.0939,183053.0
1963-02-11,0.0939,0.0944,0.0925,0.0925,297461.0
1963-02-12,0.0925,0.093,0.092,0.0922,167798.0
1963-02-13,0.0934,0.0944,0.0934,0.0942,312715.0
1963-02-14,0.0949,0.0963,0.0949,0.0963,167798.0
1963-02-15,0.0963,0.098,0.0963,0.098,419496.0
1963-02-18,0.098,0.0997,0.0971,0.0971,358478.0
1963-02-19,0.0971,0.0971,0.0963,0.0963,343224.0
1963-02-20,0.0959,0.0959,0.0944,0.0944,53390.0
1963-02-21,0.0939,0.0939,0.091,0.0939,472886.0
1963-02-25,0.093,0.093,0.0918,0.0925,167798.0
1963-02-26,0.0925,0.0934,0.091,0.093,305088.0
1963-02-27,0.093,0.0932,0.092,0.0927,327970.0
1963-02-28,0.0927,0.093,0.0913,0.092,205934.0
1963-03-01,0.0918,0.0918,0.0906,0.0906,198307.0
1963-03-04,0.0906,0.092,0.0903,0.0915,625430.0
1963-03-05,0.0915,0.092,0.0903,0.092,579667.0
1963-03-06,0.092,0.0922,0.0901,0.0901,518650.0
1963-03-07,0.0906,0.092,0.0906,0.092,358478.0
1963-03-08,0.092,0.0932,0.0918,0.0927,259325.0
1963-03-11,0.0927,0.0934,0.0922,0.0932,152544.0
1963-03-12,0.0932,0.0939,0.093,0.093,251698.0
1963-03-13,0.093,0.0944,0.0925,0.0944,305088.0
1963-03-14,0.0942,0.0942,0.0922,0.0934,305088.0
1963-03-15,0.0934,0.0937,0.0927,0.0927,228816.0
1963-03-18,0.0927,0.0932,0.0915,0.0927,320342.0
1963-03-19,0.093,0.0942,0.093,0.093,160171.0
1963-03-20,0.093,0.0942,0.093,0.0934,442378.0
1963-03-21,0.0934,0.0944,0.0934,0.0939,556786.0
1963-03-22,0.0939,0.0954,0.093,0.0954,450005.0
1963-03-25,0.0949,0.0949,0.0934,0.0949,266952.0
1963-03-26,0.0949,0.0951,0.0934,0.0934,312715.0
1963-03-27,0.0934,0.0942,0.0934,0.0939,251698.0
1963-03-28,0.0939,0.0942,0.0908,0.0908,259325.0
1963-03-29,0.0913,0.0922,0.0913,0.0918,99154.0
1963-04-01,0.0918,0.0925,0.0908,0.0918,472886.0
1963-04-02,0.0918,0.0918,0.0918,0.0918,0.0
1963-04-03,0.092,0.0937,0.092,0.0932,350851.0
1963-04-04,0.0934,0.0949,0.0934,0.0944,671194.0
1963-04-05,0.0942,0.0942,0.0934,0.0942,160171.0
1963-04-08,0.0942,0.0954,0.0937,0.0949,434750.0
1963-04-09,0.0949,0.0959,0.0944,0.0949,503395.0
1963-04-10,0.0949,0.0951,0.0927,0.0934,404242.0
1963-04-11,0.0934,0.0939,0.0922,0.0934,869501.0
1963-04-15,0.0934,0.0939,0.0932,0.0937,442378.0
1963-04-16,0.0937,0.0937,0.0915,0.0922,465259.0
1963-04-17,0.0922,0.0932,0.092,0.092,244070.0
1963-04-18,0.092,0.0934,0.092,0.0922,236443.0
1963-04-19,0.0932,0.0949,0.0932,0.0942,427123.0
1963-04-22,0.0942,0.0944,0.093,0.0934,167798.0
1963-04-23,0.0934,0.0939,0.0927,0.0939,129662.0
1963-04-24,0.0939,0.0944,0.0927,0.0939,655939.0
1963-04-25,0.0939,0.0949,0.0937,0.0949,450005.0
1963-04-26,0.0951,0.0978,0.0951,0.0971,831365.0
