date,open,high,low,close,volume
1987-09-22,0.2408,0.2426,0.2408,0.2408,69213994.0
1987-09-23,0.2408,0.2481,0.2408,0.2408,23109300.0
1987-09-24,0.2408,0.2463,0.2335,0.2463,13163006.0
1987-09-25,0.2463,0.2481,0.2426,0.2481,12757500.0
1987-09-28,0.2481,0.2481,0.2426,0.2426,7700063.0
1987-09-29,0.2426,0.2445,0.2372,0.2372,17860500.0
1987-09-30,0.2335,0.2335,0.2244,0.2317,16739663.0
1987-10-01,0.2317,0.239,0.2281,0.239,10757306.0
1987-10-02,0.239,0.2408,0.2353,0.239,1549125.0
1987-10-05,0.2354,0.2354,0.2281,0.2335,3836363.0
1987-10-06,0.2335,0.2335,0.2299,0.2335,2255344.0
1987-10-07,0.2317,0.2317,0.2262,0.2299,3184819.0
1987-10-08,0.2299,0.2317,0.2208,0.2262,3995831.0
1987-10-09,0.2262,0.2281,0.2208,0.2208,1790606.0
1987-10-12,0.2208,0.2226,0.2062,0.2116,5248800.0
1987-10-13,0.2116,0.2135,0.208,0.2098,2492269.0
1987-10-14,0.2098,0.2098,0.197,0.1989,6934613.0
1987-10-15,0.1989,0.2007,0.1934,0.1989,5052881.0
1987-10-16,0.1989,0.2025,0.1879,0.1879,6251175.0
1987-10-19,0.1843,0.1843,0.1733,0.1788,12397556.0
1987-10-20,0.1788,0.1806,0.1551,0.1733,10301681.0
1987-10-21,0.1733,0.1733,0.1551,0.1642,10292569.0
1987-10-22,0.1587,0.1587,0.1387,0.1423,5777325.0
1987-10-23,0.1368,0.1368,0.1277,0.1314,5180456.0
1987-10-26,0.1295,0.1295,0.1076,0.1149,5649750.0
1987-10-27,0.1149,0.1241,0.1149,0.1168,3809025.0
1987-10-28,0.1168,0.1168,0.1076,0.1095,3831806.0
1987-10-29,0.0967,0.0967,0.0876,0.0949,12119625.0
1987-10-30,0.1058,0.1168,0.1058,0.1149,18320681.0
1987-11-02,0.1241,0.1314,0.1241,0.1314,11153700.0
1987-11-03,0.1314,0.135,0.1186,0.1241,7030294.0
1987-11-04,0.1241,0.1241,0.1186,0.1204,4788619.0
