date,open,high,low,close,volume
1981-12-31,4.8683,4.8901,4.8464,4.8792,449200.0
1982-01-04,4.8028,4.8792,4.7154,4.7809,630400.0
1982-01-05,4.6281,4.7045,4.5408,4.5408,1076800.0
1982-01-06,4.4971,4.5299,4.4535,4.4971,1560400.0
1982-01-07,4.4426,4.519,4.3661,4.4098,1303600.0
1982-01-08,4.4753,4.5081,4.4316,4.4644,991200.0
1982-01-11,4.3989,4.519,4.2788,4.3007,1479600.0
1982-01-12,4.3661,4.4316,4.2897,4.4207,1089600.0
1982-01-13,4.4207,4.5626,4.2679,4.3225,1231200.0
1982-01-14,4.3771,4.4207,4.3225,4.4207,1068400.0
1982-01-15,4.4316,4.4535,4.3989,4.4316,724400.0
1982-01-18,4.3989,4.4644,4.3334,4.4644,897600.0
1982-01-19,4.3989,4.4644,4.3334,4.3334,722000.0
1982-01-20,4.2679,4.3443,4.1806,4.257,1852800.0
1982-01-21,4.2352,4.3007,4.1697,4.2133,1187200.0
1982-01-22,4.1915,4.2461,4.126,4.126,868000.0
1982-01-25,4.2243,4.3552,4.0824,4.3552,1900800.0
1982-01-26,4.3225,4.3771,4.257,4.257,1143200.0
1982-01-27,4.3552,4.4316,4.2788,4.3771,1310800.0
1982-01-28,4.4971,4.5735,4.4098,4.5626,1169200.0
1982-01-29,4.6936,4.7482,4.639,4.7154,2861600.0
1982-02-01,4.519,4.6172,4.4207,4.4426,1345200.0
1982-02-02,4.4644,4.5081,4.4098,4.4535,1434400.0
1982-02-03,4.3661,4.4971,4.2352,4.2679,1294800.0
1982-02-04,4.3007,4.3662,4.2352,4.3662,1818000.0
1982-02-05,4.4207,4.4971,4.3334,4.4098,1472000.0
1982-02-08,4.2679,4.3443,4.1915,4.2024,1396400.0
1982-02-09,4.2243,4.3007,4.1478,4.2461,1279200.0
1982-02-10,4.3225,4.388,4.2461,4.2788,1146000.0
1982-02-11,4.2243,4.3007,4.1478,4.1697,1359200.0
1982-02-12,4.2024,4.2352,4.1588,4.1915,1182800.0
1982-02-16,4.2242,4.3443,4.1042,4.3443,1678400.0
1982-02-17,4.3116,4.3443,4.2679,4.2788,1125200.0
1982-02-18,4.3007,4.3443,4.257,4.3116,765200.0
1982-02-19,4.2897,4.3334,4.2352,4.2679,774800.0
1982-02-22,4.2024,4.3334,4.0714,4.0823,1422000.0
1982-02-23,4.0824,4.1588,3.995,4.1042,1600800.0
1982-02-24,4.2133,4.3116,4.1151,4.2897,1030000.0
1982-02-25,4.2242,4.2897,4.1478,4.2242,789200.0
1982-02-26,4.2024,4.2352,4.1588,4.1806,640000.0
1982-03-01,4.126,4.2024,4.0387,4.1042,977600.0
1982-03-02,3.995,4.1369,3.8531,3.864,1373200.0
1982-03-03,3.7331,3.7767,3.6894,3.7549,2811200.0
1982-03-04,3.7331,3.8204,3.6457,3.7549,4486800.0
1982-03-05,3.7331,3.7876,3.6785,3.7658,2571200.0
1982-03-08,3.6676,3.8313,3.4929,3.5147,2307600.0
1982-03-09,3.7078,3.8614,3.5433,3.7188,2858800.0
1982-03-10,3.7956,3.9053,3.6859,3.8175,1601600.0
1982-03-11,3.7956,3.8504,3.7298,3.7956,1247200.0
1982-03-12,3.7627,3.8065,3.7188,3.7407,1305600.0
1982-03-15,3.8066,3.8724,3.7298,3.8614,1224400.0
1982-03-16,3.8504,3.9053,3.7956,3.8066,1113200.0
1982-03-17,3.7956,3.8504,3.7298,3.7407,759600.0
1982-03-18,3.7956,3.8504,3.7407,3.8175,1245200.0
1982-03-19,3.8175,3.8395,3.7407,3.7627,1400800.0
1982-03-22,3.8395,3.8833,3.7846,3.8833,1125600.0
1982-03-23,3.8614,3.9053,3.8065,3.8833,1092800.0
1982-03-24,3.9053,3.9492,3.8504,3.9053,1596800.0
1982-03-25,3.9053,3.9711,3.8395,3.8614,1070400.0
1982-03-26,3.7736,3.8504,3.6969,3.7298,1150400.0
1982-03-29,3.7298,3.7736,3.6749,3.7736,644800.0
1982-03-30,3.7407,3.7627,3.7078,3.7407,793200.0
1982-03-31,3.7517,3.7846,3.7188,3.7407,1119200.0
1982-04-01,3.7956,3.8833,3.7078,3.8833,1167600.0
1982-04-02,3.9711,4.0479,3.8943,4.015,1537200.0
1982-04-05,3.9492,4.015,3.8833,3.9272,699600.0
1982-04-06,3.9711,4.015,3.9272,4.004,776000.0
1982-04-07,4.0479,4.0808,4.004,4.0479,1457600.0
1982-04-08,4.1137,4.1686,4.0479,4.1027,1549600.0
1982-04-12,4.0808,4.1137,4.0369,4.0479,884800.0
1982-04-13,4.0479,4.0918,4.004,4.015,804400.0
1982-04-14,3.9821,4.015,3.9492,4.004,692800.0
1982-04-15,3.9711,3.993,3.9382,3.9711,452800.0
1982-04-16,3.9711,4.0589,3.9601,3.993,768800.0
1982-04-19,3.9711,4.004,3.9272,3.9382,713600.0
1982-04-20,3.8504,3.9272,3.7736,3.8066,1103600.0
1982-04-21,3.6969,3.7627,3.631,3.7078,2250800.0
