date,open,high,low,close,volume
1981-12-31,0.2718,0.2746,0.269,0.269,220985.0
1982-01-04,0.2718,0.2746,0.269,0.2746,365035.0
1982-01-05,0.2802,0.2886,0.269,0.2718,666558.0
1982-01-06,0.2718,0.2746,0.269,0.2718,500900.0
1982-01-07,0.2718,0.2718,0.269,0.269,171550.0
1982-01-08,0.2718,0.2746,0.269,0.2746,261581.0
1982-01-11,0.2746,0.2746,0.2718,0.2746,386315.0
1982-01-12,0.2718,0.2718,0.269,0.269,311344.0
1982-01-13,0.2718,0.2746,0.2662,0.2662,436733.0
1982-01-14,0.269,0.269,0.2662,0.2662,189556.0
1982-01-15,0.269,0.2718,0.2662,0.2718,271403.0
1982-01-18,0.2718,0.2746,0.269,0.2718,391226.0
1982-01-19,0.2718,0.2746,0.269,0.2718,282207.0
1982-01-20,0.2718,0.2718,0.269,0.269,357833.0
1982-01-21,0.2718,0.2746,0.269,0.2746,941889.0
1982-01-22,0.2746,0.2774,0.269,0.2746,422982.0
1982-01-25,0.2746,0.2774,0.2718,0.2746,315600.0
1982-01-26,0.2724,0.2753,0.2695,0.2753,642658.0
1982-01-27,0.2724,0.2753,0.2695,0.2695,1529219.0
1982-01-28,0.2666,0.2782,0.255,0.2753,1475201.0
1982-01-29,0.2782,0.2811,0.2753,0.2811,331969.0
1982-02-01,0.2782,0.2811,0.2724,0.2724,311017.0
1982-02-02,0.2753,0.2782,0.2724,0.2753,300213.0
1982-02-03,0.2753,0.2782,0.2724,0.2753,252742.0
1982-02-04,0.2753,0.2753,0.2724,0.2753,241283.0
1982-02-05,0.2753,0.2782,0.2724,0.2782,215092.0
1982-02-08,0.2753,0.2782,0.2724,0.2724,295629.0
1982-02-09,0.2724,0.2753,0.2695,0.2724,223277.0
1982-02-10,0.2753,0.2753,0.2724,0.2724,171878.0
1982-02-11,0.2724,0.2753,0.2695,0.2724,318219.0
1982-02-12,0.2724,0.2753,0.2695,0.2724,140449.0
1982-02-16,0.2695,0.2724,0.2637,0.2695,382714.0
1982-02-17,0.2724,0.2724,0.2695,0.2695,218039.0
1982-02-18,0.2695,0.2724,0.2666,0.2695,1139303.0
1982-02-19,0.2695,0.2695,0.2666,0.2695,320183.0
1982-02-22,0.2695,0.2724,0.2666,0.2666,428221.0
1982-02-23,0.2695,0.2724,0.2666,0.2695,576199.0
1982-02-24,0.2753,0.2782,0.2695,0.2782,1475201.0
1982-02-25,0.2782,0.2811,0.2753,0.2782,519561.0
1982-02-26,0.2782,0.2811,0.2753,0.2811,217712.0
1982-03-01,0.2811,0.2811,0.2782,0.2811,234736.0
1982-03-02,0.284,0.2869,0.2811,0.284,697332.0
1982-03-03,0.284,0.2869,0.2811,0.284,506138.0
1982-03-04,0.284,0.2869,0.2782,0.2869,1009003.0
1982-03-05,0.2869,0.2869,0.284,0.2869,839745.0
1982-03-08,0.2869,0.2898,0.2811,0.284,484531.0
1982-03-09,0.2869,0.2898,0.284,0.2869,619414.0
1982-03-10,0.2869,0.2898,0.284,0.2869,402030.0
1982-03-11,0.284,0.2869,0.2811,0.2811,405304.0
1982-03-12,0.284,0.284,0.2811,0.284,299885.0
1982-03-15,0.2811,0.284,0.2782,0.284,237355.0
1982-03-16,0.284,0.2869,0.2811,0.284,502865.0
1982-03-17,0.284,0.2869,0.2811,0.2869,339826.0
1982-03-18,0.284,0.2869,0.2811,0.284,864953.0
1982-03-19,0.284,0.2869,0.2811,0.2869,315273.0
1982-03-22,0.2869,0.2898,0.284,0.2898,1340972.0
1982-03-23,0.2898,0.2927,0.284,0.2927,505811.0
1982-03-24,0.2927,0.2927,0.2898,0.2898,946145.0
1982-03-25,0.2898,0.2927,0.2869,0.2927,1236864.0
1982-03-26,0.2927,0.2927,0.2898,0.2898,241611.0
1982-03-29,0.2927,0.2956,0.2869,0.2956,375839.0
1982-03-30,0.2984,0.3013,0.2927,0.3013,1638893.0
1982-03-31,0.3042,0.3071,0.2984,0.3042,1935178.0
1982-04-01,0.3071,0.31,0.3013,0.3071,2327058.0
1982-04-02,0.31,0.31,0.3071,0.3071,753970.0
1982-04-05,0.31,0.31,0.3071,0.31,439352.0
1982-04-06,0.3071,0.31,0.3042,0.3042,749714.0
1982-04-07,0.3071,0.3071,0.3042,0.3071,304469.0
