date,open,high,low,close,volume
2024-09-10,0.958,0.9691,0.91,0.9174,1786884.38804
2024-09-11,0.9187,0.933,0.8663,0.9307,531485.51134
2024-09-12,0.9314,1.11,0.9314,1.0402,3650938.88626
2024-09-13,1.0414,1.0461,0.9948,1.0282,910603.88
2024-09-14,1.0265,1.0688,1.005,1.0463,1494157.05889
2024-09-15,1.0447,1.138,1.0434,1.0779,6546917.71312
2024-09-16,1.0786,1.13,1.0217,1.0423,3816838.82002
2024-09-17,1.0415,1.188,1.0174,1.1696,5172889.32314
2024-09-18,1.1662,1.3167,1.1474,1.3167,2392388.03834
2024-09-19,1.3151,1.4083,1.3073,1.3789,3471432.82115
2024-09-20,1.3815,1.5779,1.3524,1.4686,7637156.80081
2024-09-21,1.4776,1.51,1.435,1.4856,1945019.83262
2024-09-22,1.4835,1.6323,1.421,1.5843,1734596.39637
2024-09-23,1.5861,1.652,1.5079,1.5368,3971124.32637
2024-09-24,1.5378,1.793,1.5,1.7415,9118444.81585
2024-09-25,1.7428,1.7921,1.65,1.697,2220656.12214
2024-09-26,1.6992,1.7609,1.6032,1.6434,2228546.92747
2024-09-27,1.6458,1.7337,1.6162,1.6569,1893960.93692
2024-09-28,1.655,1.6923,1.6091,1.6863,916286.73959
2024-09-29,1.6879,1.8497,1.6283,1.7599,1977819.37835
2024-09-30,1.761,1.84,1.7,1.7806,1308388.28013
2024-10-01,1.7671,1.95,1.6616,1.759,3360009.6754
2024-10-02,1.7579,1.9385,1.7408,1.8542,3090847.59688
2024-10-03,1.8562,2.0,1.6062,1.6606,3810550.23106
2024-10-04,1.663,1.8213,1.6258,1.7693,2066514.11937
2024-10-05,1.7739,1.7894,1.6928,1.7555,1014970.89216
2024-10-06,1.7553,1.8675,1.7098,1.8439,1416481.57259
2024-10-07,1.8414,2.166,1.8379,2.0131,5050038.78205
2024-10-08,2.0182,2.1312,1.9319,1.9871,2706711.89888
2024-10-09,1.9868,1.993,1.8428,1.875,2304899.65939
2024-10-10,1.875,1.9018,1.7447,1.834,2631470.03763
2024-10-11,1.8341,2.0852,1.789,2.0524,4609000.50622
2024-10-12,2.0544,2.29,2.0035,2.2412,3437599.21913
2024-10-13,2.2425,2.3665,2.1221,2.3384,3461571.59904
2024-10-14,2.3436,2.3482,2.2009,2.2493,3160489.37201
2024-10-15,2.2474,2.2719,1.9731,2.0584,5588170.00342
2024-10-16,2.0595,2.1525,1.975,2.0818,4070136.87377
2024-10-17,2.0848,2.1639,1.9989,2.0247,1775570.70859
2024-10-18,2.024,2.1535,2.01,2.1265,2196932.90397
2024-10-19,2.1224,2.1224,2.0433,2.0621,926890.6131
2024-10-20,2.0665,2.1538,2.0435,2.1294,1972935.80502
2024-10-21,2.1281,2.1788,1.9957,2.0072,2568190.51517
2024-10-22,2.0095,2.0324,1.8657,1.9359,3310633.34054
2024-10-23,1.9367,1.9968,1.8654,1.9775,2448808.69227
2024-10-24,1.9762,2.0477,1.9237,1.9342,2336033.16584
2024-10-25,1.9352,1.9411,1.64,1.7488,3460957.63935
2024-10-26,1.7502,1.8449,1.699,1.7959,1608076.28821
2024-10-27,1.7934,1.8236,1.723,1.7549,2117327.25782
2024-10-28,1.7542,1.8,1.6,1.7748,4929951.96355
2024-10-29,1.7728,2.097,1.765,2.0732,9207952.35938
2024-10-30,2.0718,2.1283,1.9699,2.0826,6030038.64131
2024-10-31,2.0835,2.0917,1.9365,1.9697,2145983.93294
2024-11-01,1.9694,2.106,1.9162,1.988,3093156.41853
2024-11-02,1.9896,2.0222,1.868,1.9089,2811617.14159
2024-11-03,1.9073,1.9678,1.7731,1.9468,3676066.22424
2024-11-04,1.9472,1.9642,1.7905,1.8458,2451187.42373
2024-11-05,1.8485,2.0671,1.8423,2.011,5221533.30266
2024-11-06,2.0105,2.3505,2.0019,2.3074,7723898.16861
2024-11-07,2.3074,2.4227,2.2121,2.3206,4198541.13081
2024-11-08,2.3239,2.3872,2.2052,2.289,3392751.37598
2024-11-09,2.2899,2.8491,2.2324,2.7469,4732493.00114
2024-11-10,2.747,3.16,2.6995,3.0344,9456111.87294
2024-11-11,3.037,3.3178,3.0284,3.2761,11262110.18257
2024-11-12,3.2761,3.33,2.8309,3.2138,7675598.27249
2024-11-13,3.2188,3.4468,2.8527,3.3097,8132346.57721
2024-11-14,3.3097,3.5282,3.2211,3.3527,6612972.53677
2024-11-15,3.3532,3.681,3.1047,3.611,5385896.78803
2024-11-16,3.609,3.9499,3.5819,3.7615,6564589.73053
2024-11-17,3.7543,3.942,3.5764,3.7829,4860800.26018
2024-11-18,3.7872,3.9078,3.61,3.6997,3720011.26748
2024-11-19,3.6999,3.853,3.614,3.73,4207054.14196
2024-11-20,3.73,3.8447,3.4276,3.5265,4233977.86568
2024-11-21,3.522,3.6952,3.3278,3.6308,6542448.0066
2024-11-22,3.6308,3.663,3.4,3.5721,4552800.43363
2024-11-23,3.5724,3.6635,3.3469,3.4384,4280882.00811
2024-11-24,3.4341,3.5737,3.15,3.3987,3760230.13849
2024-11-25,3.3997,3.4875,3.1,3.1931,4816156.61633
2024-11-26,3.1898,3.538,2.9757,3.4942,5105311.59747
2024-11-27,3.5,3.5101,3.2766,3.4381,2419029.07266
2024-11-28,3.438,3.6587,3.3995,3.4447,2334840.86258
2024-11-29,3.4489,3.5539,3.3621,3.4872,3042552.59361
2024-11-30,3.4892,3.5362,3.4118,3.4804,1628429.80028
2024-12-01,3.477,3.5359,3.3364,3.4766,2538205.36661
2024-12-02,3.4796,3.4904,3.1812,3.3919,2748695.8975
2024-12-03,3.3918,3.8785,3.3233,3.6979,8795468.06073
2024-12-04,3.7013,3.7938,3.53,3.6793,4174338.55671
2024-12-05,3.6803,4.4547,3.5341,4.2354,10827193.67374
2024-12-06,4.2353,4.4924,4.084,4.2208,5844946.55109
2024-12-07,4.2273,4.451,4.1641,4.262,2715832.46306
2024-12-08,4.2619,4.4008,4.125,4.2468,1721220.82744
2024-12-09,4.2347,4.2718,3.3765,3.8454,6503682.59153
2024-12-10,3.8429,3.8964,3.4684,3.7143,3778553.66593
2024-12-11,3.7208,4.4192,3.5741,4.3766,4908768.8617
2024-12-12,4.3755,4.8745,4.3601,4.6247,6208709.7042
2024-12-13,4.6226,4.9286,4.5435,4.7623,3273584.52834
2024-12-14,4.7631,4.8495,4.3506,4.4613,3118302.27378
2024-12-15,4.4606,4.8496,4.355,4.7831,3593085.23242
2024-12-16,4.7838,4.9582,4.6,4.6271,3002839.78099
2024-12-17,4.6298,4.8659,4.57,4.6422,2481930.93832
2024-12-18,4.6562,4.7593,4.24,4.3415,4431770.45816
2024-12-19,4.3327,4.5908,3.935,4.0764,5920460.49145
2024-12-20,4.0728,4.6081,3.4889,4.5737,8064797.88477
2024-12-21,4.5778,4.9071,4.2278,4.3535,3918014.57622
2024-12-22,4.3614,4.5923,4.1535,4.324,3113664.46654
2024-12-23,4.3221,4.749,4.1055,4.7123,3960396.93357
2024-12-24,4.7122,4.7499,4.46,4.6072,3036448.04162
2024-12-25,4.6053,4.6418,4.4535,4.4929,1597380.66916
2024-12-26,4.4991,4.5272,4.15,4.1956,2405949.55795
2024-12-27,4.1963,4.4074,4.046,4.0723,3187419.33756
2024-12-28,4.0792,4.2564,3.9734,4.2114,1484741.12705
2024-12-29,4.2059,4.27,4.0449,4.0851,1050343.4391
2024-12-30,4.0851,4.3721,3.9431,4.1835,3581836.69597
2024-12-31,4.1693,4.3363,4.04,4.1155,1786008.77379
2025-01-01,4.1154,4.3088,4.0411,4.2748,1891628.57763
2025-01-02,4.2765,4.4594,4.251,4.3462,2014466.66089
2025-01-03,4.3467,4.9912,4.2762,4.9836,3757375.20264
2025-01-04,4.9836,5.3574,4.8361,5.2886,5015787.59508
2025-01-05,5.2869,5.3893,5.1194,5.2429,1960048.46498
2025-01-06,5.2453,5.3653,5.0259,5.0952,2443093.97544
2025-01-07,5.0882,5.2434,4.75,4.7901,4075262.95442
2025-01-08,4.7851,5.0349,4.3672,4.9007,6231841.65897
2025-01-09,4.8975,4.8975,4.4943,4.7484,4554222.17541
2025-01-10,4.7504,5.25,4.7357,5.1219,6773036.01825
2025-01-11,5.1211,5.1415,4.9023,4.9644,2172330.25553
2025-01-12,4.966,4.98,4.6919,4.7302,1584665.24082
2025-01-13,4.7313,4.8606,4.2549,4.7486,6006178.36175
2025-01-14,4.7475,4.7676,4.5411,4.5819,3199507.93962
2025-01-15,4.5849,4.8969,4.433,4.8401,3869465.11179
2025-01-16,4.8398,5.0544,4.58,4.7514,4464883.13489
2025-01-17,4.7513,4.9882,4.7164,4.8404,3256401.05031
2025-01-18,4.8412,5.167,4.6112,4.9973,4621828.13315
2025-01-19,4.9987,5.0203,4.4027,4.5001,8068694.60215
2025-01-20,4.5007,4.8362,4.2849,4.4114,6186897.39365
2025-01-21,4.4061,4.7963,4.2208,4.6656,3331166.92389
2025-01-22,4.6564,4.7081,4.4501,4.4687,2176940.62291
2025-01-23,4.4647,4.477,4.1571,4.3054,3407632.96537
