date,open,high,low,close,volume
1983-11-21,0.2483,0.2529,0.2483,0.2509,5177899.0
1983-11-22,0.2509,0.2509,0.2488,0.2488,3884616.0
1983-11-23,0.2488,0.2494,0.2468,0.2478,2143291.0
1983-11-25,0.2478,0.2494,0.2478,0.2483,4475650.0
1983-11-28,0.2483,0.2488,0.2458,0.2458,5713325.0
1983-11-29,0.2453,0.2453,0.2417,0.2417,3039374.0
1983-11-30,0.2417,0.2427,0.2397,0.2402,5174722.0
1983-12-01,0.2407,0.2432,0.2407,0.2427,12648437.0
1983-12-02,0.2427,0.2427,0.2412,0.2417,2553202.0
1983-12-05,0.2417,0.2422,0.2407,0.2407,1987589.0
1983-12-06,0.2407,0.2412,0.2397,0.2397,3927514.0
1983-12-07,0.2397,0.2407,0.2371,0.2387,8342789.0
1983-12-08,0.2387,0.2397,0.2382,0.2387,8574754.0
1983-12-09,0.2387,0.2387,0.2366,0.2371,9132422.0
1983-12-12,0.2371,0.2382,0.2371,0.2376,4474061.0
1983-12-13,0.2376,0.2407,0.2371,0.2397,9666259.0
1983-12-14,0.2397,0.2432,0.2397,0.2402,6601464.0
1983-12-15,0.2402,0.2407,0.2382,0.2387,4914158.0
1983-12-16,0.2387,0.2402,0.2371,0.2387,4410509.0
1983-12-19,0.2387,0.2392,0.2382,0.2387,4968178.0
1983-12-20,0.2387,0.2397,0.2382,0.2397,3191899.0
1983-12-21,0.2397,0.2402,0.2382,0.2402,9906168.0
1983-12-22,0.2402,0.2407,0.2387,0.2387,10011029.0
1983-12-23,0.2387,0.2392,0.2371,0.2392,5112758.0
1983-12-27,0.2392,0.2392,0.2376,0.2387,3371434.0
1983-12-28,0.2387,0.2412,0.2387,0.2412,7093992.0
1983-12-29,0.2412,0.2412,0.2402,0.2407,5942112.0
1983-12-30,0.2407,0.2422,0.2397,0.2397,3870317.0
1984-01-03,0.2402,0.2488,0.2402,0.2483,3298349.0
1984-01-04,0.2509,0.2626,0.2509,0.2605,8595408.0
1984-01-05,0.2605,0.2651,0.2585,0.2595,5363789.0
1984-01-06,0.2595,0.2605,0.2529,0.2534,6042206.0
1984-01-09,0.2534,0.2539,0.2509,0.2524,4278638.0
1984-01-10,0.2524,0.2534,0.2509,0.2524,4354901.0
1984-01-11,0.2529,0.256,0.2529,0.2539,5621174.0
1984-01-12,0.2539,0.2555,0.2529,0.2544,3549379.0
1984-01-13,0.2544,0.2585,0.2544,0.2585,5357434.0
1984-01-16,0.2585,0.2661,0.2565,0.2636,4486771.0
1984-01-17,0.2636,0.2646,0.2621,0.2646,3492182.0
1984-01-18,0.2646,0.2687,0.2646,0.2682,5911925.0
1984-01-19,0.2682,0.2687,0.2651,0.2651,3991066.0
1984-01-20,0.2651,0.2656,0.2631,0.2651,3282461.0
1984-01-23,0.2651,0.2656,0.2636,0.2646,2343480.0
1984-01-24,0.2646,0.2667,0.2636,0.2636,2843952.0
1984-01-25,0.2636,0.2641,0.259,0.2595,2105160.0
1984-01-26,0.2585,0.2585,0.2539,0.2544,4065739.0
1984-01-27,0.2544,0.2555,0.2514,0.2539,5795942.0
1984-01-30,0.2539,0.259,0.2534,0.258,6531557.0
1984-01-31,0.258,0.259,0.256,0.256,2910682.0
1984-02-01,0.256,0.2575,0.2544,0.2544,2521426.0
1984-02-02,0.2544,0.2549,0.2529,0.2529,5649773.0
1984-02-03,0.2529,0.2544,0.2524,0.2534,4299293.0
1984-02-06,0.2534,0.2534,0.2509,0.2509,3624053.0
1984-02-07,0.2509,0.2544,0.2478,0.2499,4292938.0
1984-02-08,0.2499,0.2514,0.2483,0.2488,2653296.0
1984-02-09,0.2478,0.2478,0.2443,0.2443,3528725.0
