date,open,high,low,close,volume
2024-09-09,247.0272,283.5403,247.0272,277.4375,5741.85068
2024-09-10,276.9618,294.1781,265.0,286.9583,5049.41393
2024-09-11,287.9377,295.0493,273.4266,284.293,3999.80721
2024-09-12,284.555,297.8863,280.6314,293.4049,2789.31305
2024-09-13,293.953,321.5583,285.0,321.5583,3205.69044
2024-09-14,320.2813,329.6398,310.0,327.3131,2200.24895
2024-09-15,327.8331,337.673,302.0752,302.8653,1519.71642
2024-09-16,302.4182,308.4796,282.98,290.0611,3374.63878
2024-09-17,289.117,337.494,282.98,323.8196,6596.097
2024-09-18,323.7374,341.2,305.98,337.7059,6968.99949
2024-09-19,339.2853,386.9253,324.5174,374.4663,10786.17501
2024-09-20,374.3902,444.0,367.0,408.0274,8496.71077
2024-09-21,408.127,474.6584,394.6458,469.4917,7603.55103
2024-09-22,470.0267,483.7619,446.1859,469.4843,4442.94806
2024-09-23,468.9569,583.5641,460.4951,540.455,13924.62578
2024-09-24,543.0,603.98,522.0299,550.4316,10491.80557
2024-09-25,549.6915,580.9709,536.216,552.0431,5027.29201
2024-09-26,552.4288,569.8441,499.9067,526.2794,8028.9461
2024-09-27,526.4348,563.2877,520.1088,551.5451,9791.79911
2024-09-28,550.9497,552.5045,519.1503,536.7923,3040.32346
2024-09-29,536.0483,594.234,526.267,561.91,8046.62872
2024-09-30,561.0948,609.2407,539.8353,577.9474,7749.22801
2024-10-01,578.5866,616.7049,514.743,538.8163,10847.583
2024-10-02,537.7576,579.8558,495.5038,520.4016,6235.19234
2024-10-03,519.7504,545.0,472.6094,496.8546,5258.00756
2024-10-04,497.4473,587.1231,486.017,584.4144,8032.0982
2024-10-05,584.7981,601.0632,554.4674,564.8834,4813.54901
2024-10-06,564.268,638.5344,548.5745,634.6674,4581.00319
2024-10-07,634.8599,676.9397,600.3968,609.0259,12154.66457
2024-10-08,609.7761,642.87,602.4842,606.7007,5433.40745
2024-10-09,606.2436,617.0,564.4957,569.434,5758.48714
2024-10-10,569.5983,595.0771,534.6723,562.6069,7404.54586
2024-10-11,563.5748,645.6913,558.2849,621.0249,8269.54522
2024-10-12,621.6907,681.844,617.0989,657.0938,8451.60759
2024-10-13,656.9274,665.6895,629.077,640.3918,4556.57085
2024-10-14,640.7177,677.9611,621.2135,632.01,5756.45552
2024-10-15,632.01,638.5249,585.9025,598.1445,6798.08653
2024-10-16,598.3484,633.65,571.009,579.7416,7721.02444
