date,open,high,low,close,volume
1980-03-17,1.6731,1.7265,1.6731,1.6731,151495.0
1980-03-18,1.6731,1.6909,1.6375,1.6375,436261.0
1980-03-19,1.7087,1.7621,1.7087,1.7087,234647.0
1980-03-20,1.7087,1.7265,1.6731,1.6731,60370.0
1980-03-21,1.6731,1.7265,1.6731,1.6731,53536.0
1980-03-24,1.6197,1.6197,1.5663,1.5663,312103.0
1980-03-25,1.6019,1.6553,1.6019,1.6019,170859.0
1980-03-26,1.6019,1.6553,1.6019,1.6019,195919.0
1980-03-27,1.4773,1.4773,1.4239,1.4239,299573.0
1980-03-28,1.6197,1.6731,1.6197,1.6197,265402.0
1980-03-31,1.7087,1.7621,1.7087,1.7087,345136.0
1980-04-01,1.7087,1.7443,1.6909,1.6909,242620.0
1980-04-02,1.6909,1.7443,1.6909,1.6909,61509.0
1980-04-03,1.6909,1.7265,1.6731,1.6731,130992.0
1980-04-07,1.6375,1.6375,1.5841,1.5841,137827.0
1980-04-08,1.6019,1.6553,1.6019,1.6019,97959.0
1980-04-09,1.6731,1.7265,1.6731,1.6731,205031.0
1980-04-10,1.7443,1.7977,1.7443,1.7443,214144.0
1980-04-11,1.7443,1.7977,1.7443,1.7443,264263.0
1980-04-14,1.7265,1.7265,1.6731,1.6731,130992.0
1980-04-15,1.6731,1.7087,1.6553,1.6553,123019.0
1980-04-16,1.6731,1.7265,1.6731,1.6731,64927.0
1980-04-17,1.6731,1.7087,1.6553,1.6553,103655.0
1980-04-18,1.6553,1.6909,1.6375,1.6375,125297.0
1980-04-21,1.6375,1.6553,1.6019,1.6019,135548.0
1980-04-22,1.6909,1.7443,1.6909,1.6909,181111.0
1980-04-23,1.7087,1.7621,1.7087,1.7087,174277.0
1980-04-24,1.7799,1.8333,1.7799,1.7799,96820.0
1980-04-25,1.7799,1.7977,1.7443,1.7443,27338.0
1980-04-28,1.7799,1.8333,1.7799,1.7799,63788.0
1980-04-29,1.8155,1.8689,1.8155,1.8155,77456.0
1980-04-30,1.8333,1.8867,1.8333,1.8333,126436.0
1980-05-01,1.8333,1.8333,1.7799,1.7799,199336.0
1980-05-02,1.7799,1.8333,1.7799,1.7799,79734.0
1980-05-05,1.7977,1.8511,1.7977,1.7977,43284.0
1980-05-06,1.7977,1.8333,1.7799,1.7799,158330.0
1980-05-07,1.7799,1.7799,1.7265,1.7265,166303.0
1980-05-08,1.7087,1.7087,1.6553,1.6553,103655.0
1980-05-09,1.6731,1.7265,1.6731,1.6731,13669.0
1980-05-12,1.6731,1.7265,1.6731,1.6731,7973.0
1980-05-13,1.7087,1.7621,1.7087,1.7087,94542.0
1980-05-14,1.7443,1.7977,1.7443,1.7443,582061.0
1980-05-15,1.7443,1.7977,1.7443,1.7443,67205.0
1980-05-16,1.7977,1.8511,1.7977,1.7977,198197.0
1980-05-19,1.8155,1.8689,1.8155,1.8155,61509.0
1980-05-20,1.7977,1.7977,1.7443,1.7443,201614.0
1980-05-21,1.7443,1.7977,1.7443,1.7443,77456.0
1980-05-22,1.7799,1.8333,1.7799,1.7799,107072.0
1980-05-23,1.8155,1.8689,1.8155,1.8155,116184.0
1980-05-27,1.8155,1.8689,1.8155,1.8155,143522.0
1980-05-28,1.8155,1.8511,1.7977,1.7977,121880.0
1980-05-29,1.7977,1.8155,1.7621,1.7621,136688.0
1980-05-30,1.7799,1.8333,1.7799,1.7799,832655.0
1980-06-02,1.7799,1.8333,1.7799,1.7799,93403.0
1980-06-03,1.7799,1.8155,1.7621,1.7621,79734.0
1980-06-04,1.7621,1.8155,1.7621,1.7621,213005.0
1980-06-05,1.7621,1.7977,1.7443,1.7443,236925.0
1980-06-06,1.7977,1.8511,1.7977,1.7977,175416.0
1980-06-09,1.7977,1.8511,1.7977,1.7977,158330.0
1980-06-10,1.9223,1.9756,1.9223,1.9223,357666.0
1980-06-11,2.029,2.0824,2.029,2.029,448791.0
1980-06-12,2.029,2.0646,2.0112,2.0112,441956.0
1980-06-13,2.0468,2.1002,2.0468,2.0468,290461.0
1980-06-16,2.0468,2.0646,2.0112,2.0112,149217.0
1980-06-17,1.9934,1.9934,1.94,1.94,169720.0
1980-06-18,1.9401,1.9756,1.9223,1.9223,260845.0
1980-06-19,1.7621,1.7621,1.7087,1.7087,440817.0
1980-06-20,1.7977,1.8511,1.7977,1.7977,252872.0
1980-06-23,1.7977,1.8511,1.7977,1.7977,202753.0
1980-06-24,1.7977,1.8333,1.7799,1.7799,126436.0
1980-06-25,1.9045,1.9578,1.9045,1.9045,287044.0
1980-06-26,1.9045,1.9401,1.8867,1.8867,179972.0
1980-06-27,1.8867,1.9223,1.8689,1.8689,69483.0
1980-06-30,1.8333,1.8333,1.7799,1.7799,207309.0
1980-07-01,1.7799,1.8155,1.7621,1.7621,64927.0
1980-07-02,1.8333,1.8867,1.8333,1.8333,162886.0
1980-07-03,1.9223,1.9756,1.9223,1.9223,171998.0
1980-07-07,1.9223,1.9578,1.9223,1.9223,135548.0
1980-07-08,1.9223,1.9401,1.9223,1.9223,102516.0
1980-07-09,1.9223,1.94,1.9045,1.9045,119602.0
1980-07-10,1.9045,1.9045,1.8867,1.8867,86569.0
1980-07-11,1.9223,1.9401,1.9223,1.9223,156052.0
1980-07-14,2.0112,2.029,2.0112,2.0112,232369.0
1980-07-15,2.0112,2.0112,1.9756,1.9756,332606.0
1980-07-16,1.9578,1.9578,1.94,1.94,178833.0
1980-07-17,1.94,1.9578,1.94,1.94,185667.0
1980-07-18,1.9401,1.9401,1.9223,1.9223,119602.0
1980-07-21,1.94,1.9578,1.94,1.94,222117.0
1980-07-22,1.9223,1.9223,1.8867,1.8867,219839.0
1980-07-23,1.8867,1.9223,1.8867,1.8867,256289.0
1980-07-24,1.8867,1.9045,1.8867,1.8867,165164.0
1980-07-25,1.9578,1.9756,1.9578,1.9578,156052.0
1980-07-28,2.0468,2.0646,2.0468,2.0468,422592.0
1980-07-29,2.1002,2.118,2.1002,2.1002,490936.0
1980-07-30,2.1892,2.2248,2.1892,2.1892,542194.0
1980-07-31,2.1714,2.1714,2.1358,2.1358,568392.0
1980-08-01,2.1536,2.1892,2.1536,2.1536,217561.0
1980-08-04,2.1892,2.207,2.1892,2.1892,275653.0
1980-08-05,2.1892,2.207,2.1714,2.1714,263123.0
1980-08-06,2.1714,2.207,2.1714,2.1714,238064.0
1980-08-07,2.474,2.4918,2.474,2.474,525108.0
1980-08-08,2.4028,2.4028,2.3672,2.3672,370195.0
1980-08-11,2.3672,2.3672,2.3494,2.3494,238064.0
1980-08-12,2.3316,2.3316,2.3138,2.3138,350831.0
1980-08-13,2.3494,2.3672,2.3494,2.3494,166303.0
1980-08-14,2.4028,2.4206,2.4028,2.4028,269958.0
1980-08-15,2.4206,2.4562,2.4206,2.4206,334884.0
1980-08-18,2.4028,2.4028,2.385,2.385,215283.0
1980-08-19,2.3672,2.3672,2.3316,2.3316,281348.0
1980-08-20,2.4028,2.4206,2.4028,2.4028,161747.0
1980-08-21,2.6342,2.6698,2.6342,2.6342,543333.0
1980-08-22,2.6342,2.6342,2.6164,2.6164,230091.0
1980-08-25,2.5986,2.5986,2.5808,2.5808,340580.0
1980-08-26,2.5808,2.5986,2.5808,2.5808,428288.0
