date,open,high,low,close,volume
1972-06-01,0.6794,0.6851,0.6794,0.6841,825600.0
1972-06-02,0.6914,0.6982,0.6914,0.6966,2496000.0
1972-06-05,0.6966,0.7045,0.6951,0.6977,960000.0
1972-06-06,0.6977,0.6993,0.6684,0.6684,1824000.0
1972-06-07,0.6684,0.6715,0.6658,0.6658,604800.0
1972-06-08,0.6658,0.6741,0.6652,0.6668,1180800.0
1972-06-09,0.6668,0.6678,0.6584,0.6637,451200.0
1972-06-12,0.6663,0.6684,0.6663,0.6678,153600.0
1972-06-13,0.671,0.6956,0.671,0.6956,700800.0
1972-06-14,0.6993,0.7108,0.6993,0.7076,787200.0
1972-06-15,0.7076,0.716,0.7045,0.7071,787200.0
1972-06-16,0.705,0.705,0.6961,0.7024,576000.0
1972-06-19,0.6998,0.6998,0.6951,0.6993,720000.0
1972-06-20,0.7045,0.7108,0.7045,0.7108,460800.0
1972-06-21,0.7108,0.717,0.7066,0.7066,1872000.0
1972-06-22,0.7066,0.7076,0.7034,0.7071,604800.0
1972-06-23,0.7087,0.7155,0.7087,0.715,787200.0
1972-06-26,0.7139,0.7139,0.7102,0.7139,470400.0
1972-06-27,0.7139,0.716,0.7034,0.7087,1008000.0
1972-06-28,0.7076,0.7076,0.7034,0.7034,57600.0
1972-06-29,0.6977,0.6977,0.693,0.694,326400.0
1972-06-30,0.6966,0.7108,0.6966,0.7066,441600.0
1972-07-03,0.7064,0.7064,0.7022,0.7043,422400.0
1972-07-05,0.7043,0.7316,0.7033,0.7263,1065600.0
1972-07-06,0.7295,0.7368,0.7295,0.7358,1008000.0
1972-07-07,0.7358,0.7462,0.7347,0.7462,1094400.0
1972-07-10,0.7431,0.7431,0.7295,0.7295,1344000.0
1972-07-11,0.7295,0.7352,0.7263,0.7295,739200.0
1972-07-12,0.7295,0.7352,0.7253,0.7253,604800.0
1972-07-13,0.7253,0.7253,0.7179,0.72,422400.0
1972-07-14,0.7211,0.7269,0.7211,0.7211,364800.0
1972-07-17,0.7211,0.7211,0.7012,0.7012,547200.0
1972-07-18,0.697,0.697,0.6823,0.6912,1161600.0
1972-07-19,0.698,0.7096,0.698,0.7022,1219200.0
1972-07-20,0.7006,0.7006,0.6959,0.6959,643200.0
1972-07-21,0.6959,0.7122,0.6944,0.7122,1420800.0
1972-07-24,0.7195,0.7358,0.7195,0.7326,2448000.0
1972-07-25,0.7326,0.7326,0.7279,0.731,316800.0
1972-07-26,0.731,0.7379,0.7305,0.7379,806400.0
1972-07-27,0.7379,0.7436,0.7347,0.7358,700800.0
1972-07-28,0.7326,0.7326,0.7258,0.7263,355200.0
1972-07-31,0.7263,0.7284,0.7169,0.7195,902400.0
1972-08-01,0.7195,0.7326,0.7185,0.7326,1843200.0
1972-08-02,0.7347,0.741,0.7347,0.741,1286400.0
1972-08-03,0.741,0.7452,0.7379,0.7436,662400.0
1972-08-04,0.7462,0.763,0.7462,0.7609,902400.0
1972-08-07,0.7609,0.7735,0.7588,0.7735,700800.0
1972-08-08,0.7735,0.7808,0.7641,0.7808,1123200.0
