date,open,high,low,close,volume
1984-10-17,0.1102,0.1131,0.1102,0.1102,9868800.0
1984-10-18,0.1131,0.1191,0.1131,0.1131,5324800.0
1984-10-19,0.1131,0.1131,0.1102,0.1102,3043200.0
1984-10-22,0.1102,0.1131,0.1102,0.1102,2326400.0
1984-10-23,0.1102,0.1102,0.1072,0.1072,787200.0
1984-10-24,0.1102,0.1131,0.1102,0.1102,230400.0
1984-10-25,0.1102,0.1131,0.1072,0.1072,1587200.0
1984-10-26,0.1072,0.1102,0.1072,0.1072,758400.0
1984-10-29,0.1072,0.1102,0.1072,0.1072,614400.0
1984-10-30,0.1072,0.1131,0.1072,0.1072,192000.0
1984-10-31,0.1102,0.1131,0.1102,0.1102,297600.0
1984-11-01,0.1102,0.1102,0.1072,0.1072,352000.0
1984-11-02,0.1072,0.1102,0.1072,0.1072,1638400.0
1984-11-05,0.1072,0.1072,0.1042,0.1042,534400.0
1984-11-06,0.1042,0.1072,0.1042,0.1042,544000.0
1984-11-07,0.1042,0.1072,0.1042,0.1042,76800.0
1984-11-08,0.1042,0.1072,0.1042,0.1042,44800.0
1984-11-09,0.1042,0.1072,0.1042,0.1042,896000.0
1984-11-12,0.1042,0.1072,0.1042,0.1042,300800.0
1984-11-13,0.1042,0.1072,0.1042,0.1042,464000.0
1984-11-14,0.1042,0.1072,0.1012,0.1012,1523200.0
1984-11-15,0.1012,0.1042,0.1012,0.1012,156800.0
1984-11-16,0.1012,0.1042,0.0953,0.0953,579200.0
1984-11-19,0.0953,0.1042,0.0953,0.0953,358400.0
1984-11-20,0.0953,0.0983,0.0923,0.0923,179200.0
1984-11-21,0.0923,0.0983,0.0923,0.0923,905600.0
1984-11-23,0.0923,0.0983,0.0923,0.0923,25600.0
1984-11-26,0.0953,0.0983,0.0953,0.0953,166400.0
1984-11-27,0.0983,0.1012,0.0983,0.0983,147200.0
1984-11-28,0.0983,0.1012,0.0983,0.0983,492800.0
1984-11-29,0.0983,0.1012,0.0983,0.0983,262400.0
1984-11-30,0.0983,0.1012,0.0983,0.0983,556800.0
1984-12-03,0.0983,0.1012,0.0953,0.0953,380800.0
1984-12-04,0.0953,0.0983,0.0923,0.0923,217600.0
1984-12-05,0.0923,0.0983,0.0923,0.0923,102400.0
1984-12-06,0.0923,0.0953,0.0893,0.0893,630400.0
1984-12-07,0.0893,0.0923,0.0893,0.0893,86400.0
1984-12-10,0.0893,0.0923,0.0893,0.0893,2099200.0
1984-12-11,0.0893,0.0923,0.0893,0.0893,188800.0
1984-12-12,0.0893,0.0923,0.0893,0.0893,393600.0
1984-12-13,0.0893,0.0923,0.0893,0.0893,102400.0
1984-12-14,0.0893,0.0923,0.0893,0.0893,89600.0
1984-12-17,0.0893,0.0923,0.0893,0.0893,102400.0
1984-12-18,0.0893,0.0923,0.0893,0.0893,214400.0
1984-12-19,0.0893,0.0923,0.0893,0.0893,102400.0
