date,open,high,low,close,volume
2024-09-13,6.796,7.088,6.691,6.937,54820.67564273
2024-09-14,6.926,6.926,6.603,6.674,49391.68195795
2024-09-15,6.663,6.844,6.47,6.537,31872.43340036
2024-09-16,6.537,6.561,6.31,6.412,28938.79466089
2024-09-17,6.419,7.138,6.346,6.784,122621.29650062
2024-09-18,6.77,6.77,6.393,6.767,67012.08883956
2024-09-19,6.77,6.901,6.732,6.811,84999.60795632
2024-09-20,6.808,6.981,6.685,6.827,71084.46589789
2024-09-21,6.83,6.926,6.688,6.903,46760.26091769
2024-09-22,6.908,6.908,6.492,6.641,60258.40783915
2024-09-23,6.635,6.94,6.54,6.844,95555.02428402
2024-09-24,6.834,7.029,6.745,6.926,42984.37723192
2024-09-25,6.929,7.041,6.75,6.78,78687.11746046
2024-09-26,6.778,7.393,6.678,7.359,208024.05490322
2024-09-27,7.351,7.715,7.293,7.624,65564.21094744
2024-09-28,7.624,7.866,7.01,7.613,138149.68800768
2024-09-29,7.592,7.619,7.357,7.416,51000.86057595
2024-09-30,7.474,7.741,7.284,7.4,103486.9989285
2024-10-01,7.388,7.849,6.782,6.868,103942.34400314
2024-10-02,6.865,7.286,6.619,6.682,64869.66584106
2024-10-03,6.678,6.783,6.39,6.561,24131.68127648
2024-10-04,6.572,6.811,6.534,6.716,120045.67244233
2024-10-05,6.711,6.887,6.647,6.831,30025.19078999
2024-10-06,6.801,7.082,6.782,7.081,23832.4086163
2024-10-07,7.082,7.459,7.082,7.226,79047.20950359
2024-10-08,7.235,7.293,6.995,7.173,26584.34678143
2024-10-09,7.183,7.375,7.061,7.293,31612.73704692
2024-10-10,7.281,8.457,7.214,8.126,471564.08071757
2024-10-11,8.12,8.226,7.836,7.879,151450.26945697
2024-10-12,7.876,8.301,7.752,8.127,113388.0379593
2024-10-13,8.122,8.136,7.567,7.691,88284.00187737
2024-10-14,7.676,8.302,7.604,8.131,64909.37775139
2024-10-15,8.126,8.294,7.683,7.843,86147.71539727
2024-10-16,7.834,8.0,7.561,7.576,74290.78108821
2024-10-17,7.579,7.66,7.194,7.338,55846.2016784
2024-10-18,7.352,7.507,7.329,7.464,67083.54669996
2024-10-19,7.463,7.587,7.31,7.323,17330.44156739
2024-10-20,7.34,7.77,7.294,7.753,69634.80188987
2024-10-21,7.757,7.958,7.415,7.786,77649.77242713
2024-10-22,7.812,8.68,7.704,7.991,250589.59105097
2024-10-23,8.008,8.013,7.487,7.852,58085.69988264
2024-10-24,7.875,8.2,7.843,8.036,86152.25370495
2024-10-25,8.04,8.182,7.178,7.436,96770.32569779
2024-10-26,7.399,7.762,7.284,7.435,71504.99413509
2024-10-27,7.406,7.79,7.367,7.529,67500.73270577
2024-10-28,7.515,7.782,7.303,7.778,58743.98789459
2024-10-29,7.782,8.003,7.757,7.925,54359.65513222
2024-10-30,7.941,8.318,7.831,8.114,51685.53161891
2024-10-31,8.114,8.171,7.485,7.625,80750.41578673
2024-11-01,7.61,8.03,7.521,7.553,107179.00688514
2024-11-02,7.553,7.756,7.317,7.388,41020.48624236
2024-11-03,7.388,7.423,6.838,7.045,56448.18495798
2024-11-04,7.007,7.128,6.621,6.778,41936.84500007
2024-11-05,6.775,7.266,6.773,7.197,39597.57880384
2024-11-06,7.212,9.697,7.212,9.292,597572.72982598
2024-11-07,9.327,9.543,8.828,8.902,172910.97569809
2024-11-08,8.907,9.045,8.535,8.853,133726.02697555
2024-11-09,8.843,9.333,8.684,9.234,210041.50591991
2024-11-10,9.249,9.626,8.699,9.231,379649.75429879
2024-11-11,9.207,9.4,8.776,9.349,245095.20771578
2024-11-12,9.346,10.813,8.644,8.955,458446.11265335
2024-11-13,8.958,9.166,8.26,8.624,242756.17435492
2024-11-14,8.62,8.83,8.063,8.183,208237.97432445
2024-11-15,8.185,8.595,7.87,8.568,156810.23231519
2024-11-16,8.549,9.244,8.514,9.074,201348.28828263
2024-11-17,9.077,9.335,8.588,8.74,143015.35154859
2024-11-18,8.752,9.387,8.727,9.249,260043.93643942
2024-11-19,9.25,9.637,9.127,9.413,154293.1828724
2024-11-20,9.406,9.406,8.59,8.822,131914.6302914
2024-11-21,8.804,9.688,8.507,9.267,288487.42087191
2024-11-22,9.247,9.966,9.149,9.946,190023.94051267
2024-11-23,9.94,11.349,9.762,10.736,429205.79536819
2024-11-24,10.739,11.382,10.126,10.9,289805.58618477
2024-11-25,10.846,12.409,10.541,11.113,517511.253858
2024-11-26,11.119,11.774,10.49,10.884,284343.81677871
2024-11-27,10.857,13.798,10.725,13.545,457618.67963579
2024-11-28,13.535,13.535,12.405,12.774,279735.73359777
2024-11-29,12.765,12.974,12.312,12.578,162327.05758363
2024-11-30,12.578,13.389,12.53,12.786,164481.10808209
2024-12-01,12.77,13.335,12.607,13.06,155960.97743982
2024-12-02,13.064,14.56,12.441,13.997,495339.16741888
2024-12-03,13.998,15.337,13.136,15.126,497265.04321578
2024-12-04,15.127,16.514,14.667,15.684,382146.48302446
2024-12-05,15.665,15.926,14.551,15.067,214557.98734484
2024-12-06,15.043,18.45,15.043,17.58,460104.04484019
2024-12-07,17.586,18.615,17.25,18.05,281555.30229896
2024-12-08,18.101,19.454,17.539,18.597,271191.45386116
2024-12-09,18.614,18.845,13.899,16.085,342625.93033516
2024-12-10,16.027,16.675,14.048,15.248,218616.1057039
2024-12-11,15.251,17.222,14.739,17.161,204365.97246972
2024-12-12,17.159,18.969,16.92,17.698,225339.08659718
2024-12-13,17.703,18.165,16.859,17.492,103047.45746822
2024-12-14,17.371,17.763,16.49,16.757,131041.09481139
2024-12-15,16.745,17.204,16.222,17.056,85787.20081908
2024-12-16,17.068,17.448,16.233,16.256,106782.50345301
2024-12-17,16.235,16.545,15.616,16.285,104651.62629117
2024-12-18,16.236,16.716,14.602,14.808,132148.23800032
2024-12-19,14.806,15.387,12.65,12.731,309269.68158021
2024-12-20,12.716,13.821,11.204,13.681,552669.59014618
2024-12-21,13.651,14.758,13.027,13.404,142720.10387203
2024-12-22,13.373,14.273,13.244,13.872,127152.42366656
2024-12-23,13.873,14.599,13.227,14.263,188558.8188386
2024-12-24,14.245,14.74,13.742,14.58,83645.24803959
2024-12-25,14.572,14.572,13.668,13.893,62981.87118227
2024-12-26,13.909,14.065,12.747,13.221,108877.943848
2024-12-27,13.25,14.231,13.159,13.312,334482.54317747
2024-12-28,13.327,13.773,13.013,13.563,68453.60961914
2024-12-29,13.576,13.576,12.834,12.984,26374.63992282
2024-12-30,12.972,13.619,12.738,13.33,130182.92190078
2024-12-31,13.296,13.881,13.109,13.221,88260.73543356
2025-01-01,13.205,13.666,13.028,13.612,38765.70862689
2025-01-02,13.651,14.568,13.634,14.364,84300.97815829
2025-01-03,14.362,15.241,14.057,15.191,114408.94583482
2025-01-04,15.191,15.423,14.768,15.284,107068.47698951
2025-01-05,15.284,15.352,14.818,15.158,53473.18617294
2025-01-06,15.176,15.637,14.813,15.073,136839.94166809
2025-01-07,15.066,15.124,13.471,13.536,96381.1473936
2025-01-08,13.55,13.826,12.504,13.115,110021.8025549
2025-01-09,13.11,13.347,12.381,12.872,74145.16250617
2025-01-10,12.866,14.096,12.865,13.942,174616.05597306
2025-01-11,13.942,14.111,13.463,13.642,77160.79150237
2025-01-12,13.64,13.882,13.52,13.633,50221.14125573
2025-01-13,13.623,13.921,12.041,12.888,89048.800209
2025-01-14,12.926,13.422,12.841,13.309,44510.18132502
2025-01-15,13.315,14.681,12.954,14.548,70252.67554957
2025-01-16,14.544,14.612,13.942,14.128,103989.17948264
2025-01-17,14.096,15.177,14.085,14.995,85381.17974592
2025-01-18,15.008,15.256,13.886,14.187,140878.28009416
2025-01-19,14.153,14.564,12.979,13.28,186006.19044152
2025-01-20,13.262,14.787,12.884,13.482,185642.89860432
2025-01-21,13.535,13.851,12.981,13.507,108450.96971607
2025-01-22,13.508,13.62,12.824,12.873,52933.03497165
2025-01-23,12.87,13.049,12.396,12.81,70323.68138441
2025-01-24,12.812,13.142,12.436,12.467,46511.56873861
2025-01-25,12.45,12.46,12.052,12.082,36446.13914428
2025-01-26,12.068,12.385,11.418,11.418,68281.11914995
2025-01-27,11.417,11.512,10.256,10.995,161129.39626606
2025-01-28,11.002,11.342,10.818,11.136,74623.37711531
2025-01-29,11.117,12.071,11.108,11.741,98321.80828798
2025-01-30,11.732,12.294,11.652,11.966,138967.81000996
2025-01-31,11.968,12.841,11.673,11.76,164088.3148512
2025-02-01,11.765,11.914,10.821,10.869,93278.72517249
2025-02-02,10.856,11.099,8.717,9.186,146327.64718233
2025-02-03,9.187,10.219,6.919,9.949,323849.72110053
2025-02-04,9.979,9.983,8.78,9.083,161096.04656807
2025-02-05,9.084,9.52,9.024,9.268,70759.40448031
2025-02-06,9.276,9.451,8.898,8.976,40767.4350714
2025-02-07,8.986,9.498,8.741,9.018,87060.55822693
2025-02-08,8.986,9.186,8.724,9.141,36076.18671871
2025-02-09,9.139,9.312,8.71,9.137,48742.10171253
2025-02-10,9.134,9.593,8.83,9.459,117496.64048849
2025-02-11,9.456,10.036,9.249,9.383,134453.85343994
2025-02-12,9.388,10.124,9.077,9.948,90197.7798664
2025-02-13,9.957,10.071,9.48,9.881,48707.70197703
2025-02-14,9.884,10.355,9.819,10.051,55855.98003621
2025-02-15,10.056,10.144,9.727,9.8,47118.42276744
2025-02-16,9.799,9.935,9.579,9.582,40813.74134848
2025-02-17,9.587,10.235,9.449,9.932,53601.16576226
2025-02-18,9.936,9.941,9.15,9.625,64186.01893647
2025-02-19,9.611,9.718,9.385,9.435,51801.15544656
2025-02-20,9.417,9.56,8.977,9.348,90845.26687862
2025-02-21,9.348,9.636,8.578,8.727,100144.51897643
2025-02-22,8.715,9.121,8.68,9.051,44462.76168329
2025-02-23,9.04,9.212,8.925,9.032,48473.72400429
2025-02-24,9.023,9.117,7.795,7.976,70345.27978306
2025-02-25,7.976,8.601,7.431,8.335,217480.59588425
2025-02-26,8.313,8.495,7.646,7.888,86170.84729677
2025-02-27,7.903,8.283,7.721,7.864,42176.47474692
2025-02-28,7.864,7.882,7.044,7.495,94924.66319325
2025-03-01,7.495,7.652,7.207,7.482,30476.73762689
2025-03-02,7.487,8.325,7.321,8.247,51414.14583218
2025-03-03,8.273,8.273,7.058,7.124,51448.02293041
2025-03-04,7.115,7.153,6.48,7.081,127420.92770243
2025-03-05,7.059,7.549,7.021,7.525,71292.50063799
2025-03-06,7.536,7.687,7.058,7.104,60256.79490112
2025-03-07,7.106,7.353,6.828,7.06,71181.14575085
2025-03-08,7.059,7.216,6.899,7.158,31784.44109509
2025-03-09,7.16,7.206,6.325,6.392,87829.97671462
2025-03-10,6.396,6.946,5.788,5.916,89680.54191716
2025-03-11,5.916,6.236,5.518,6.086,134899.14388549
2025-03-12,6.095,6.201,5.749,5.916,161461.18723315
2025-03-13,5.894,6.072,5.701,5.894,73738.74763449
2025-03-14,5.888,6.133,5.836,6.026,94160.76907791
2025-03-15,6.023,6.323,6.003,6.279,39947.68087587
2025-03-16,6.275,6.291,5.982,6.141,56383.2427366
2025-03-17,6.15,6.384,6.088,6.301,39977.43080749
2025-03-18,6.297,6.371,6.1,6.371,42108.58504238
2025-03-19,6.376,7.36,6.325,6.989,262436.95661513
2025-03-20,7.013,7.052,6.648,6.903,45344.39072951
2025-03-21,6.905,6.921,6.718,6.777,26063.13255029
2025-03-22,6.794,6.921,6.728,6.74,20317.92730987
2025-03-23,6.747,6.827,6.62,6.681,17641.669239
2025-03-24,6.688,7.157,6.584,7.078,52822.95898338
2025-03-25,7.068,7.125,6.932,6.97,23996.221427
2025-03-26,6.943,7.12,6.654,6.722,122016.0679668
2025-03-27,6.721,6.901,6.657,6.723,52461.30049197
2025-03-28,6.726,6.83,6.051,6.171,60799.66571714
2025-03-29,6.183,6.247,5.867,5.957,24950.07720116
2025-03-30,5.957,6.054,5.809,5.868,30034.4168841
2025-03-31,5.869,6.049,5.744,5.972,28762.75814268
2025-04-01,5.969,6.345,5.969,6.267,44472.50956703
2025-04-02,6.266,6.498,5.791,5.833,150872.52136199
2025-04-03,5.828,6.062,5.654,5.862,62612.96163947
2025-04-04,5.868,6.029,5.66,5.907,106349.33775669
2025-04-05,5.903,5.938,5.767,5.866,7605.80030524
2025-04-06,5.854,5.894,4.978,5.095,63940.23869438
2025-04-07,5.099,5.342,4.607,5.117,109042.58539029
2025-04-08,5.12,5.3,4.693,4.77,142678.65241337
2025-04-09,4.77,5.494,4.559,5.417,116129.70598667
2025-04-10,5.411,5.411,4.85,5.021,38938.45733644
