date,open,high,low,close,volume
1980-01-02,0.9824,0.9961,0.9824,0.9841,1165973.0
1980-01-03,0.9773,0.9773,0.9618,0.9704,1453896.0
1980-01-04,0.9721,0.9875,0.9721,0.9875,1382510.0
1980-01-07,0.9875,0.9961,0.9824,0.9824,1087448.0
1980-01-08,0.9824,0.991,0.9464,0.9464,1213563.0
1980-01-09,0.9464,0.9567,0.919,0.9395,9965497.0
1980-01-10,0.9395,0.9412,0.9327,0.9327,5922665.0
1980-01-11,0.9327,0.9378,0.9292,0.9344,5394408.0
1980-01-14,0.9344,0.9567,0.9344,0.9532,4000000.0
1980-01-15,0.9601,0.9841,0.9601,0.9841,1886972.0
1980-01-16,0.9875,0.9995,0.9875,0.9927,5077930.0
1980-01-17,0.9927,0.9961,0.9875,0.9927,1208804.0
1980-01-18,0.9927,1.0115,0.9927,1.0064,1123141.0
1980-01-21,1.0167,1.0338,1.0167,1.0338,1487210.0
1980-01-22,1.0338,1.0527,1.0304,1.039,1380131.0
1980-01-23,1.039,1.0458,1.0321,1.0373,899465.0
1980-01-24,1.075,1.0904,1.075,1.0767,2329566.0
1980-01-25,1.0733,1.0733,1.0595,1.0681,863772.0
1980-01-28,1.0681,1.0818,1.063,1.0733,1727543.0
1980-01-29,1.0733,1.0887,1.0733,1.0733,949435.0
1980-01-30,1.0733,1.0767,1.0698,1.0733,701963.0
1980-01-31,1.0733,1.0887,1.063,1.063,987507.0
1980-02-01,1.063,1.075,1.063,1.075,623438.0
1980-02-04,1.075,1.0835,0.9687,1.0733,759072.0
1980-02-05,1.0801,1.1281,1.0801,1.1281,1955979.0
1980-02-06,1.1487,1.2276,1.1487,1.1864,3205235.0
1980-02-07,1.1864,1.2721,1.1864,1.2619,8009518.0
1980-02-08,1.2619,1.3201,1.2207,1.3167,3726353.0
1980-02-11,1.3167,1.3441,1.2893,1.2944,4266508.0
1980-02-12,1.2927,1.2927,1.2584,1.2859,3612136.0
1980-02-13,1.2859,1.2927,1.2721,1.2893,2558001.0
1980-02-14,1.2876,1.2876,1.2276,1.2413,2776919.0
1980-02-15,1.2413,1.2601,1.2276,1.2584,3792980.0
1980-02-19,1.2584,1.2807,1.2567,1.2807,3395598.0
1980-02-20,1.2807,1.2996,1.2773,1.2996,1641880.0
1980-02-21,1.2996,1.3407,1.2944,1.3201,2108269.0
