date,open,high,low,close,volume
2025-02-12,1.73,1.73,1.2,1.3789,108243.6211
2025-02-13,1.4654,1.4699,1.25,1.2867,181297.62957
2025-02-14,1.2851,1.6762,1.2659,1.4028,252721.19675
2025-02-15,1.4157,1.4224,1.28,1.3332,60211.74052
2025-02-16,1.3392,1.38,1.2369,1.2369,37254.50962
2025-02-17,1.2696,1.3,1.1381,1.1569,364840.30855
2025-02-18,1.1489,1.2025,0.9488,1.0015,141113.34145
2025-02-19,1.0155,1.12,0.9356,0.9739,241909.35143
2025-02-20,0.963,1.1713,0.9484,1.1553,193390.13583
2025-02-21,1.1589,1.43,1.0906,1.1206,1237575.14564
2025-02-22,1.1189,1.3289,1.1025,1.2387,121473.1733
2025-02-23,1.241,1.2595,1.1403,1.1828,340726.90186
2025-02-24,1.1837,1.2412,0.9947,1.0138,193885.37246
2025-02-25,1.0014,1.1871,0.96,1.1158,303823.58776
2025-02-26,1.0975,1.1913,1.0752,1.1415,142825.80968
2025-02-27,1.1683,1.1879,1.0439,1.0643,238343.21839
2025-02-28,1.061,1.1093,0.9734,1.1053,230467.96266
2025-03-01,1.1103,1.1232,1.0294,1.0515,130949.21655
2025-03-02,1.0504,1.2376,1.0225,1.217,360543.25177
2025-03-03,1.2285,1.36,0.9364,0.953,893812.85592
2025-03-04,0.95,0.9604,0.806,0.8887,821183.26399
2025-03-05,0.8939,0.923,0.8549,0.8762,123871.57974
2025-03-06,0.8755,0.8826,0.7654,0.7847,314533.73336
2025-03-07,0.7877,0.7958,0.6957,0.7155,628967.29954
2025-03-08,0.7185,0.7521,0.6813,0.6934,337942.51902
2025-03-09,0.696,0.7242,0.6139,0.6161,454795.14279
2025-03-10,0.6189,0.6642,0.5493,0.5582,371233.0268
2025-03-11,0.5595,0.5895,0.5196,0.5729,345620.55236
2025-03-12,0.5771,0.6037,0.5459,0.6021,367473.39939
2025-03-13,0.6078,0.6338,0.5559,0.5784,412971.11347
2025-03-14,0.5764,0.703,0.5748,0.6747,523416.73984
2025-03-15,0.6737,0.7464,0.6659,0.7252,285843.30191
2025-03-16,0.7252,0.7933,0.6975,0.72,380714.32897
2025-03-17,0.7228,0.89,0.708,0.7515,533395.47747
2025-03-18,0.7392,0.7403,0.6574,0.673,428484.6009
2025-03-19,0.6696,0.7149,0.6466,0.7002,377605.759
2025-03-20,0.7076,0.7149,0.6454,0.6793,531261.53339
2025-03-21,0.684,0.7319,0.6608,0.7283,208427.15005
2025-03-22,0.7294,0.7542,0.6939,0.7192,172660.65136
2025-03-23,0.7153,0.7747,0.7153,0.7747,335388.52601
2025-03-24,0.7746,0.843,0.7374,0.8064,324550.13856
2025-03-25,0.8034,0.8254,0.7734,0.8097,113440.06524
2025-03-26,0.805,0.8251,0.7324,0.7475,110381.8007
2025-03-27,0.7464,0.7645,0.7263,0.7394,62712.22792
2025-03-28,0.742,0.7452,0.6424,0.6586,108542.45795
2025-03-29,0.6571,0.6641,0.5959,0.6092,67695.06749
2025-03-30,0.6047,0.6261,0.5921,0.5999,49360.59996
2025-03-31,0.6004,0.6079,0.5727,0.5797,120571.42136
2025-04-01,0.5804,0.6119,0.5749,0.6028,97242.44723
2025-04-02,0.597,0.6187,0.5357,0.5442,183096.64036
2025-04-03,0.5463,0.5847,0.535,0.5634,201821.30627
2025-04-04,0.565,0.5681,0.519,0.5463,126393.47955
2025-04-05,0.5474,0.5545,0.5273,0.5446,78230.70488
2025-04-06,0.5449,0.5449,0.4568,0.4693,240235.42876
2025-04-07,0.4702,0.5063,0.4224,0.4715,594955.89743
2025-04-08,0.4714,0.4911,0.4359,0.4373,77960.01492
2025-04-09,0.4361,0.497,0.4192,0.4827,370876.7781
2025-04-10,0.4806,0.4806,0.4416,0.4487,163993.3532
2025-04-11,0.4503,0.5976,0.4482,0.53,518583.92115
2025-04-12,0.5269,0.6181,0.521,0.6145,363819.10038
