date,open,high,low,close,volume
2025-02-27,4.214,4.244,3.992,4.0,4296.32432
2025-02-28,3.894,4.079,3.664,4.068,5838.94705
2025-03-01,4.051,4.068,3.795,3.842,1980.74374
2025-03-02,3.955,4.202,3.805,4.142,3887.6967
2025-03-03,4.094,4.109,3.217,3.294,2567.6058
2025-03-04,3.24,3.332,3.048,3.263,1736.85428
2025-03-05,3.234,3.371,3.206,3.371,3217.23572
2025-03-06,3.327,3.463,3.213,3.259,6110.01792
2025-03-07,3.195,3.243,3.122,3.133,876.01713
2025-03-08,3.111,3.111,2.95,3.035,1352.76029
2025-03-09,3.01,3.05,2.752,2.777,931.7566
2025-03-10,2.884,2.999,2.501,2.614,4262.31026
2025-03-11,2.696,3.24,2.678,3.096,4169.41568
2025-03-12,3.114,3.598,3.114,3.58,5037.63548
2025-03-13,3.625,3.733,3.318,3.47,1934.6194
2025-03-14,3.441,3.557,3.441,3.527,261.80036
2025-03-15,3.386,3.574,3.386,3.496,1797.40658
2025-03-16,3.49,4.015,3.49,3.606,10562.61013
2025-03-17,3.619,3.763,3.576,3.579,5354.01092
2025-03-18,3.524,3.531,3.277,3.312,7393.08197
2025-03-19,3.339,3.369,3.241,3.365,1394.52387
2025-03-20,3.384,3.513,3.34,3.353,3054.40424
2025-03-21,3.228,3.315,3.124,3.124,13093.32521
2025-03-22,3.131,3.293,3.116,3.22,7719.99841
2025-03-23,3.243,3.263,2.985,3.001,2078.84002
2025-03-24,3.05,3.268,3.024,3.16,1064.12212
2025-03-25,3.107,3.128,3.031,3.116,1304.67316
2025-03-26,3.182,3.287,3.028,3.045,2894.59964
2025-03-27,2.984,3.055,2.849,2.905,2867.60955
2025-03-28,2.91,2.934,2.729,2.766,1600.48176
2025-03-29,2.787,2.787,2.569,2.593,603.97204
2025-03-30,2.65,2.723,2.65,2.723,774.61844
2025-03-31,2.618,2.707,2.618,2.638,2324.04692
2025-04-01,2.598,2.77,2.598,2.676,1483.18517
2025-04-02,2.62,2.653,2.34,2.341,2371.69802
2025-04-03,2.42,2.447,2.179,2.279,3487.75908
2025-04-04,2.319,2.508,2.319,2.439,8432.44217
2025-04-05,2.416,2.443,2.361,2.399,2540.20823
2025-04-06,2.344,2.369,2.065,2.076,2892.22522
2025-04-07,2.096,2.113,1.796,2.035,11799.98366
2025-04-08,2.046,2.107,1.882,1.882,12805.19022
2025-04-09,1.905,2.158,1.839,2.14,6771.48983
2025-04-10,2.134,2.142,1.921,1.953,6406.80502
2025-04-11,1.966,2.147,1.966,2.104,6568.85833
2025-04-12,2.091,2.366,2.091,2.302,5900.19644
2025-04-13,2.18,2.181,2.03,2.03,1476.47858
2025-04-14,2.018,2.171,2.011,2.06,3311.03065
2025-04-15,2.039,2.108,1.962,1.967,2564.73289
2025-04-16,1.925,1.998,1.888,1.947,3792.72511
2025-04-17,2.002,2.23,2.002,2.164,2859.31956
2025-04-18,2.181,2.228,2.154,2.19,2795.39793
2025-04-19,2.166,2.226,2.16,2.217,1066.92026
2025-04-20,2.241,2.265,2.193,2.252,2908.02731
2025-04-21,2.278,2.693,2.278,2.482,8380.51118
2025-04-22,2.512,2.623,2.35,2.623,1158.97467
2025-04-23,2.742,2.879,2.669,2.685,3361.51662
2025-04-24,2.628,2.78,2.624,2.78,1073.11405
2025-04-25,2.845,3.224,2.845,2.93,4361.49894
2025-04-26,3.042,3.202,2.994,3.199,2268.22007
2025-04-27,3.201,3.703,3.12,3.566,14620.34308
2025-04-28,3.625,3.729,3.35,3.564,10319.1831
2025-04-29,3.575,4.522,3.536,4.027,10952.38878
2025-04-30,4.022,4.14,3.784,4.034,2392.34989
2025-05-01,4.235,5.341,4.183,4.956,10917.54738
2025-05-02,4.934,5.044,4.584,4.599,7426.07388
2025-05-03,4.509,4.509,3.879,3.879,11302.73866
2025-05-04,3.935,3.935,3.729,3.855,2245.58223
2025-05-05,3.806,4.032,3.713,3.951,7867.1578
2025-05-06,4.154,4.164,3.946,4.117,2428.27503
2025-05-07,4.04,4.04,3.518,3.766,5933.21484
2025-05-08,3.809,4.6,3.809,4.244,12914.10636
2025-05-09,4.265,4.562,4.033,4.083,636.97572
2025-05-10,4.025,4.124,3.974,4.113,2827.72615
2025-05-11,4.156,4.156,3.938,4.081,1219.49204
2025-05-12,4.117,4.529,3.977,3.987,2196.08121
2025-05-13,4.017,4.253,3.914,4.253,811.49165
2025-05-14,4.107,4.147,4.044,4.051,1059.44333
2025-05-15,4.017,4.017,3.654,3.654,1511.98542
2025-05-16,3.818,3.818,3.616,3.616,973.2986
2025-05-17,3.509,3.532,3.478,3.488,459.88249
2025-05-18,3.544,3.797,3.544,3.601,743.46298
2025-05-19,3.455,3.564,3.455,3.528,1095.02768
2025-05-20,3.567,3.672,3.49,3.646,1555.125
2025-05-21,3.759,4.002,3.65,3.72,1732.30379
2025-05-22,3.898,4.093,3.812,3.837,1435.93212
2025-05-23,4.022,4.127,3.688,3.688,350.65449
2025-05-24,3.682,3.691,3.581,3.581,383.89092
2025-05-25,3.612,3.612,3.393,3.399,931.73997
2025-05-26,3.539,3.591,3.402,3.413,812.7628
2025-05-27,3.427,3.643,3.353,3.609,1249.66695
