date,open,high,low,close,volume
1983-11-21,1.0079,1.0097,0.9366,1.0026,5020667.0
1983-11-22,1.0026,1.0169,0.9972,0.999,2666896.0
1983-11-23,0.999,1.0026,0.9883,0.9937,1151978.0
1983-11-25,0.9937,0.9954,0.983,0.983,1772000.0
1983-11-28,0.9776,0.9776,0.9526,0.9562,2368004.0
1983-11-29,0.9544,0.9544,0.9437,0.9455,1630560.0
1983-11-30,0.9455,0.9526,0.9419,0.9455,2423157.0
1983-12-01,0.9455,0.9526,0.9401,0.9455,6249147.0
1983-12-02,0.9455,0.9562,0.9384,0.9437,1763994.0
1983-12-05,0.9437,0.9455,0.933,0.933,1084372.0
1983-12-06,0.933,0.9401,0.933,0.9366,2176749.0
1983-12-07,0.9366,0.9526,0.9366,0.9455,4856099.0
1983-12-08,0.9455,0.9508,0.9437,0.9473,7360205.0
1983-12-09,0.9473,0.9544,0.9473,0.9491,5222597.0
1983-12-12,0.9491,0.9544,0.9473,0.9508,2835022.0
1983-12-13,0.9526,0.9687,0.9526,0.9651,6693036.0
1983-12-14,0.9651,0.9723,0.9651,0.9687,2521008.0
1983-12-15,0.9687,0.9687,0.9615,0.9615,2323526.0
1983-12-16,0.9615,0.9705,0.9615,0.9669,2452512.0
1983-12-19,0.9669,0.9669,0.9633,0.9633,1610990.0
1983-12-20,0.9633,0.9669,0.9562,0.958,1937458.0
1983-12-21,0.958,0.9615,0.9491,0.9526,1935679.0
1983-12-22,0.9508,0.9508,0.9401,0.9401,4871221.0
1983-12-23,0.9401,0.9419,0.933,0.9348,2338649.0
1983-12-27,0.933,0.933,0.9277,0.9294,3004928.0
1983-12-28,0.9294,0.9384,0.9294,0.9366,4580336.0
1983-12-29,0.9366,0.9401,0.9348,0.9348,2998701.0
1983-12-30,0.9348,0.9366,0.9294,0.9312,1745313.0
1984-01-03,0.9366,0.9598,0.9366,0.958,1973930.0
1984-01-04,0.9633,1.0044,0.9633,0.9865,3632956.0
1984-01-05,0.9937,1.0151,0.9937,0.9954,3759273.0
1984-01-06,0.9919,1.0204,0.9919,1.0133,4508281.0
1984-01-09,1.0133,1.0133,1.0008,1.0008,1791570.0
1984-01-10,1.0008,1.0044,0.9972,1.0044,1571849.0
1984-01-11,1.0044,1.0097,1.0044,1.0061,1258725.0
1984-01-12,1.0061,1.0133,1.0044,1.0133,1421514.0
1984-01-13,1.0186,1.0311,1.0186,1.0204,3148147.0
1984-01-16,1.0276,1.049,1.0276,1.0293,2448954.0
1984-01-17,1.0329,1.0418,1.0329,1.0383,2151841.0
1984-01-18,1.0383,1.0418,1.0329,1.0418,2929315.0
1984-01-19,1.0418,1.0472,1.0365,1.0418,1812920.0
1984-01-20,1.0418,1.049,1.0418,1.049,2088683.0
1984-01-23,1.049,1.049,1.0436,1.0436,1159984.0
1984-01-24,1.0436,1.0454,1.0418,1.0418,1173327.0
1984-01-25,1.0418,1.049,1.0418,1.0436,1711510.0
