date,open,high,low,close,volume
1972-06-01,0.1359,0.1363,0.1359,0.1359,249600.0
1972-06-02,0.1363,0.1375,0.1363,0.1363,172800.0
1972-06-05,0.1363,0.1383,0.1359,0.1383,302400.0
1972-06-06,0.1383,0.1408,0.1379,0.1383,196800.0
1972-06-07,0.1383,0.1383,0.1371,0.1371,48000.0
1972-06-08,0.1371,0.1383,0.1367,0.1375,144000.0
1972-06-09,0.1375,0.1383,0.1367,0.1375,43200.0
1972-06-12,0.1383,0.1392,0.1383,0.1392,24000.0
1972-06-13,0.1388,0.1388,0.1367,0.1367,76800.0
1972-06-14,0.1367,0.1375,0.1367,0.1367,244800.0
1972-06-15,0.1375,0.1379,0.1375,0.1379,206400.0
1972-06-16,0.1379,0.1392,0.1379,0.1392,48000.0
1972-06-19,0.1383,0.1383,0.1379,0.1379,91200.0
1972-06-20,0.1379,0.1383,0.1379,0.1383,14400.0
1972-06-21,0.1383,0.1383,0.1379,0.1379,48000.0
1972-06-22,0.1379,0.1392,0.1375,0.1392,86400.0
1972-06-23,0.14,0.1412,0.14,0.1412,96000.0
1972-06-26,0.1412,0.1416,0.14,0.1416,62400.0
1972-06-27,0.1424,0.1432,0.1424,0.1424,67200.0
1972-06-28,0.1436,0.1464,0.1436,0.1464,144000.0
1972-06-29,0.146,0.146,0.146,0.146,28800.0
1972-06-30,0.1464,0.148,0.1464,0.148,72000.0
1972-07-03,0.148,0.1504,0.148,0.1504,57600.0
1972-07-05,0.1504,0.1504,0.1488,0.1488,211200.0
1972-07-06,0.1496,0.156,0.1496,0.156,254400.0
1972-07-07,0.156,0.1585,0.156,0.1568,412800.0
1972-07-10,0.1568,0.1577,0.156,0.1577,0.0
1972-07-11,0.1577,0.1581,0.1568,0.1577,2904000.0
1972-07-12,0.1577,0.1585,0.1577,0.1577,259200.0
1972-07-13,0.1577,0.1593,0.1577,0.1593,225600.0
1972-07-14,0.1593,0.1593,0.1581,0.1593,172800.0
1972-07-17,0.1593,0.1597,0.1585,0.1597,62400.0
1972-07-18,0.1597,0.1609,0.1589,0.1601,220800.0
1972-07-19,0.1601,0.1609,0.1593,0.1609,24000.0
1972-07-20,0.1609,0.1609,0.1597,0.1605,76800.0
1972-07-21,0.1605,0.1617,0.1605,0.1617,273600.0
1972-07-24,0.1617,0.1617,0.1609,0.1613,225600.0
1972-07-25,0.1613,0.1633,0.1613,0.1629,278400.0
1972-07-26,0.1633,0.1637,0.1633,0.1637,86400.0
1972-07-27,0.1637,0.1637,0.1609,0.1609,518400.0
1972-07-28,0.1617,0.1625,0.1617,0.1621,67200.0
1972-07-31,0.1633,0.1633,0.1625,0.1633,86400.0
1972-08-01,0.1633,0.1661,0.1625,0.1653,264000.0
1972-08-02,0.1653,0.1677,0.1645,0.1669,211200.0
1972-08-03,0.1669,0.1677,0.1653,0.1677,264000.0
1972-08-04,0.1686,0.1702,0.1686,0.1694,681600.0
1972-08-07,0.171,0.1718,0.171,0.1714,206400.0
1972-08-08,0.1714,0.1714,0.171,0.171,547200.0
1972-08-09,0.171,0.1718,0.1702,0.1702,244800.0
1972-08-10,0.171,0.1718,0.171,0.1718,153600.0
1972-08-11,0.1718,0.1718,0.1714,0.1718,86400.0
1972-08-14,0.1718,0.1734,0.1718,0.1726,124800.0
1972-08-15,0.1734,0.175,0.1734,0.1738,120000.0
1972-08-16,0.175,0.1767,0.175,0.1759,81600.0
1972-08-17,0.1763,0.1767,0.1763,0.1763,67200.0
1972-08-18,0.1783,0.1807,0.1783,0.1795,321600.0
1972-08-21,0.1795,0.1803,0.1795,0.1803,19200.0
1972-08-22,0.1807,0.1831,0.1807,0.1831,350400.0
1972-08-23,0.1831,0.184,0.1823,0.184,177600.0
1972-08-24,0.184,0.1848,0.184,0.1848,72000.0
1972-08-25,0.1844,0.1844,0.1831,0.1836,244800.0
1972-08-28,0.1836,0.184,0.1827,0.1827,81600.0
1972-08-29,0.1823,0.1823,0.1823,0.1823,52800.0
1972-08-30,0.1823,0.1827,0.1815,0.1815,91200.0
1972-08-31,0.1819,0.1823,0.1819,0.1819,33600.0
1972-09-01,0.1819,0.1827,0.1819,0.1827,48000.0
1972-09-05,0.1827,0.1831,0.1819,0.1819,172800.0
1972-09-06,0.1815,0.1815,0.1807,0.1811,100800.0
1972-09-07,0.1803,0.1803,0.1791,0.1791,33600.0
1972-09-08,0.1783,0.1783,0.1759,0.1779,211200.0
1972-09-11,0.1779,0.1783,0.1775,0.1783,33600.0
1972-09-12,0.1787,0.1803,0.1787,0.1799,139200.0
1972-09-13,0.1799,0.1807,0.1799,0.1799,134400.0
1972-09-14,0.1799,0.1807,0.1799,0.1799,230400.0
1972-09-15,0.1799,0.1807,0.1799,0.1807,0.0
1972-09-18,0.1799,0.1799,0.1787,0.1799,91200.0
1972-09-19,0.1799,0.1799,0.1799,0.1799,52800.0
1972-09-20,0.1799,0.1799,0.1783,0.1783,187200.0
1972-09-21,0.1787,0.1799,0.1787,0.1799,72000.0
1972-09-22,0.1799,0.1807,0.1799,0.1799,67200.0
1972-09-25,0.1799,0.1803,0.1791,0.1791,144000.0
1972-09-26,0.1791,0.1791,0.1771,0.1783,134400.0
1972-09-27,0.1775,0.1775,0.175,0.1759,192000.0
1972-09-28,0.175,0.175,0.1734,0.1734,129600.0
1972-09-29,0.1734,0.1746,0.1726,0.1742,148800.0
1972-10-02,0.175,0.1767,0.175,0.1767,72000.0
1972-10-03,0.1767,0.1783,0.1759,0.1775,124800.0
1972-10-04,0.1783,0.1799,0.1783,0.1799,67200.0
1972-10-05,0.1807,0.1819,0.1807,0.1811,432000.0
1972-10-06,0.1811,0.1819,0.1811,0.1815,787200.0
1972-10-09,0.1823,0.1831,0.1823,0.1831,57600.0
1972-10-10,0.1827,0.1827,0.1815,0.1823,115200.0
1972-10-11,0.1823,0.1827,0.1815,0.1827,163200.0
1972-10-12,0.1827,0.1827,0.1815,0.1815,33600.0
1972-10-13,0.1807,0.1807,0.1775,0.1775,86400.0
1972-10-16,0.1763,0.1763,0.1726,0.1726,67200.0
1972-10-17,0.1722,0.1722,0.1706,0.1718,96000.0
1972-10-18,0.1734,0.175,0.1734,0.175,139200.0
1972-10-19,0.175,0.1759,0.175,0.175,57600.0
1972-10-20,0.175,0.1771,0.175,0.1763,96000.0
1972-10-23,0.1775,0.1831,0.1775,0.1831,192000.0
1972-10-24,0.1831,0.1844,0.1823,0.1831,124800.0
1972-10-25,0.1831,0.1831,0.1815,0.1815,38400.0
1972-10-26,0.1815,0.184,0.1803,0.1803,172800.0
1972-10-27,0.1807,0.1811,0.1807,0.1807,76800.0
1972-10-30,0.1819,0.1836,0.1819,0.1836,72000.0
1972-10-31,0.1836,0.1852,0.1832,0.1844,148800.0
1972-11-01,0.1844,0.186,0.1844,0.186,96000.0
1972-11-02,0.186,0.1877,0.186,0.186,230400.0
1972-11-03,0.1868,0.1877,0.1868,0.1868,110400.0
1972-11-06,0.1868,0.1877,0.186,0.186,105600.0
1972-11-08,0.186,0.1868,0.186,0.1868,96000.0
1972-11-09,0.1868,0.1885,0.1868,0.1872,124800.0
1972-11-10,0.1881,0.1901,0.1881,0.1901,201600.0
1972-11-13,0.1901,0.1905,0.1893,0.1905,57600.0
1972-11-14,0.1893,0.1893,0.1889,0.1889,52800.0
1972-11-15,0.1889,0.1901,0.1885,0.1897,86400.0
1972-11-16,0.1897,0.1897,0.1893,0.1893,33600.0
1972-11-17,0.1893,0.1901,0.1881,0.1893,177600.0
1972-11-20,0.1889,0.1889,0.1881,0.1881,33600.0
