date,open,high,low,close,volume
1998-12-22,5.707,5.7262,5.6764,5.6956,30400.0
1998-12-23,5.7147,5.8141,5.707,5.8141,135600.0
1998-12-24,5.8294,5.8294,5.7759,5.7835,24600.0
1998-12-28,5.8141,5.8141,5.7147,5.7529,27000.0
1998-12-29,5.7682,5.8103,5.7147,5.8103,44000.0
1998-12-30,5.8065,5.8065,5.7185,5.7223,43600.0
1998-12-31,5.7147,5.7147,5.6841,5.7147,26000.0
1999-01-04,5.6994,5.8141,5.6994,5.7109,57200.0
1999-01-05,5.7453,5.7453,5.6726,5.6803,85400.0
1999-01-06,5.7453,5.8753,5.707,5.8677,112800.0
1999-01-07,5.8677,5.8715,5.7721,5.8409,145200.0
1999-01-08,5.8753,6.013,5.7223,5.8677,842200.0
1999-01-11,5.8141,5.8218,5.7376,5.7568,70000.0
1999-01-12,5.7529,5.7759,5.6611,5.6688,178400.0
1999-01-13,5.5693,5.6764,5.554,5.5846,84800.0
1999-01-14,5.5693,5.5999,5.4775,5.4775,140000.0
1999-01-15,5.5234,5.5693,5.4967,5.5617,21400.0
1999-01-19,5.5846,5.5846,5.5158,5.5617,25600.0
1999-01-20,5.5311,5.5846,5.512,5.5158,31600.0
1999-01-21,5.5158,5.6076,5.5081,5.5617,47800.0
1999-01-22,5.5693,5.5846,5.5234,5.5311,38600.0
1999-01-25,5.554,5.554,5.4775,5.5234,36400.0
1999-01-26,5.5311,5.5311,5.424,5.4699,51400.0
1999-01-27,5.4775,5.4775,5.3551,5.3704,74200.0
1999-01-28,5.3857,5.3857,5.2939,5.3398,61600.0
1999-01-29,5.3092,5.3398,5.248,5.3398,37200.0
1999-02-01,5.3398,5.3551,5.2863,5.2863,46200.0
1999-02-02,5.2939,5.3398,5.271,5.2939,53000.0
1999-02-03,5.3245,5.4469,5.3245,5.4163,58800.0
1999-02-04,5.4163,5.4622,5.401,5.4469,52000.0
1999-02-05,5.4622,5.6152,5.4316,5.5999,132000.0
1999-02-08,5.6229,5.6764,5.6152,5.6764,62200.0
1999-02-09,5.6841,5.6841,5.5693,5.5693,128600.0
1999-02-10,5.5923,5.6458,5.554,5.5846,138600.0
1999-02-11,5.5617,5.5617,5.4546,5.5387,433600.0
1999-02-12,5.4775,5.5387,5.424,5.424,484600.0
1999-02-16,5.4661,5.4928,5.3322,5.3857,73200.0
1999-02-17,5.3551,5.4087,5.3245,5.3322,83400.0
1999-02-18,5.3245,5.3781,5.271,5.3475,166000.0
1999-02-19,5.3704,5.3781,5.271,5.3169,260600.0
1999-02-22,5.3551,5.3857,5.3092,5.3704,159000.0
1999-02-23,5.3857,5.4087,5.3245,5.3245,619200.0
1999-02-24,5.3398,5.4087,5.3016,5.3016,69000.0
1999-02-25,5.2977,5.3628,5.2939,5.3283,89200.0
1999-02-26,5.3475,5.3857,5.2939,5.2939,49800.0
1999-03-01,5.3054,5.3092,5.2251,5.2404,26600.0
1999-03-02,5.248,5.271,5.1639,5.1868,110200.0
1999-03-03,5.2327,5.3245,5.1945,5.3016,206600.0
1999-03-04,5.3475,5.5234,5.3475,5.4928,180800.0
1999-03-05,5.6305,5.6382,5.5387,5.5961,185400.0
1999-03-08,5.6267,5.6917,5.6038,5.6764,215200.0
1999-03-09,5.6152,5.707,5.5923,5.6152,158000.0
1999-03-10,5.6382,5.9518,5.6382,5.9365,3467600.0
1999-03-11,6.1201,6.1813,5.9365,6.0207,1818000.0
1999-03-12,6.0895,6.1354,5.9365,5.9977,1208600.0
1999-03-15,6.013,6.0283,5.8792,5.9518,1046000.0
1999-03-16,5.8983,5.9518,5.8753,5.9212,546600.0
1999-03-17,5.9518,6.0819,5.9365,6.0742,725600.0
1999-03-18,6.1813,6.1966,6.1048,6.1507,665200.0
1999-03-19,6.2036,6.2112,6.05,6.0884,520800.0
1999-03-22,6.1421,6.1729,6.0769,6.1268,330000.0
1999-03-23,6.0807,6.0807,5.9579,6.0193,275800.0
1999-03-24,6.05,6.073,5.9348,5.9886,122200.0
1999-03-25,5.9732,6.0347,5.9118,6.0039,333000.0
1999-03-26,6.0654,6.1114,6.0116,6.0807,89400.0
1999-03-29,6.2343,6.3111,6.2266,6.2496,168800.0
1999-03-30,6.2112,6.2189,6.1191,6.1345,121600.0
1999-03-31,6.1805,6.1882,6.0423,6.0423,134000.0
1999-04-01,6.05,6.0577,5.9694,6.0347,44000.0
1999-04-05,6.0347,6.2036,6.0347,6.1805,116800.0
1999-04-06,6.1652,6.1729,6.073,6.1191,85200.0
1999-04-07,6.1114,6.1191,6.0116,6.0577,1672800.0
1999-04-08,6.0846,6.1882,6.0615,6.1191,1704600.0
1999-04-09,6.1229,6.265,6.1153,6.2343,104800.0
1999-04-12,6.2036,6.3264,6.2036,6.2803,125000.0
1999-04-13,6.242,6.3226,6.242,6.2727,135600.0
1999-04-14,6.265,6.3034,6.1959,6.1959,54000.0
1999-04-15,6.2343,6.4953,6.2343,6.4646,518800.0
1999-04-16,6.5337,6.6719,6.48,6.6681,177000.0
1999-04-19,6.8485,6.9637,6.741,6.7487,491000.0
1999-04-20,6.7717,6.7717,6.5759,6.6412,772800.0
1999-04-21,6.6028,6.6489,6.48,6.5414,362400.0
1999-04-22,6.526,6.6565,6.4492,6.6565,791800.0
1999-04-23,6.6297,6.6335,6.5222,6.5721,32600.0
1999-04-26,6.526,6.526,6.3917,6.4262,595600.0
1999-04-27,6.4992,6.6335,6.4953,6.6297,164800.0
1999-04-28,6.6642,6.9483,6.6642,6.8485,207400.0
1999-04-29,6.5874,7.0942,6.5721,7.0558,480200.0
1999-04-30,6.9713,7.0327,6.8792,6.9368,1932200.0
1999-05-03,6.9406,7.1095,6.8792,7.1095,553200.0
1999-05-04,7.1172,7.1556,7.0596,7.1172,717000.0
1999-05-05,7.1095,7.1095,6.9176,7.0136,762000.0
1999-05-06,7.0481,7.0635,6.8869,6.9944,805000.0
1999-05-07,6.9483,7.0443,6.9061,7.0366,721400.0
1999-05-10,7.0289,7.1019,6.956,6.956,541400.0
1999-05-11,7.002,7.0097,6.9406,6.979,143200.0
1999-05-12,6.8178,6.8792,6.6949,6.8485,1063400.0
1999-05-13,6.8946,6.956,6.8485,6.883,529400.0
1999-05-14,6.8485,6.8946,6.7947,6.8331,509800.0
1999-05-17,6.741,6.8255,6.7256,6.8063,211600.0
1999-05-18,6.741,6.7564,6.6374,6.6489,67600.0
1999-05-19,6.7026,6.7794,6.6373,6.741,561400.0
1999-05-20,6.718,6.8408,6.718,6.8178,295000.0
1999-05-21,6.8485,6.9637,6.8024,6.9253,430200.0
1999-05-24,6.956,7.0251,6.7602,6.7602,620600.0
1999-05-25,6.7717,6.9253,6.7333,6.7333,902000.0
1999-05-26,6.8255,6.9483,6.7871,6.9253,129400.0
1999-05-27,6.8792,6.9713,6.718,6.718,153400.0
1999-05-28,6.7333,6.8331,6.7103,6.7871,215600.0
1999-06-01,6.7717,6.7717,6.6374,6.7487,843000.0
1999-06-02,6.7755,6.8408,6.7755,6.8255,64000.0
1999-06-03,6.9022,6.9406,6.8485,6.8485,86600.0
1999-06-04,6.9176,6.956,6.8485,6.956,45000.0
1999-06-07,6.9636,7.0596,6.9483,7.0366,364600.0
1999-06-08,7.002,7.0251,6.9253,6.9253,339600.0
1999-06-09,6.9176,6.9944,6.9099,6.9406,28800.0
1999-06-10,6.9713,7.0097,6.9099,6.979,244200.0
1999-06-11,7.0174,7.0635,6.9867,7.0328,163400.0
1999-06-14,7.0635,7.1095,7.0097,7.0942,542000.0
1999-06-15,7.1095,7.2093,7.0673,7.1825,302600.0
1999-06-16,7.217,7.217,7.0865,7.1095,457600.0
1999-06-17,7.0635,7.1402,7.0481,7.1172,128600.0
1999-06-18,7.161,7.1918,7.107,7.1301,119600.0
1999-06-21,7.1147,7.1147,6.9063,6.9642,175000.0
1999-06-22,6.8832,6.9333,6.8755,6.8909,502000.0
1999-06-23,6.9449,6.9758,6.9179,6.9449,523600.0
1999-06-24,6.8986,6.8986,6.7944,6.8292,465000.0
1999-06-25,6.8292,6.8292,6.7597,6.7751,531000.0
1999-06-28,6.7674,6.7944,6.7096,6.7327,111200.0
1999-06-29,6.7327,6.8292,6.7057,6.8253,137400.0
1999-06-30,6.8523,6.9681,6.8523,6.9256,216000.0
1999-07-01,6.9449,6.9912,6.9063,6.9796,66400.0
1999-07-02,6.9835,7.0259,6.9372,7.0028,103200.0
1999-07-06,7.0375,7.188,7.0375,7.134,97600.0
1999-07-07,7.1224,7.1224,7.0607,7.1147,241200.0
1999-07-08,7.161,7.215,7.1494,7.161,188600.0
1999-07-09,7.134,7.1841,7.1147,7.1571,51400.0
1999-07-12,7.2227,7.2304,7.161,7.2304,184400.0
1999-07-13,7.1687,7.1764,7.1147,7.161,92400.0
1999-07-14,7.1726,7.215,7.1224,7.1726,37600.0
1999-07-15,7.2188,7.2536,7.1764,7.2381,66000.0
1999-07-16,7.1841,7.215,7.1455,7.1918,54000.0
1999-07-19,7.1764,7.1841,7.107,7.1648,49200.0
1999-07-20,7.1378,7.1455,6.9758,6.9758,36800.0
1999-07-21,6.9295,7.0568,6.914,7.0529,81000.0
1999-07-22,6.9218,6.9603,6.8407,6.9488,107000.0
1999-07-23,7.0066,7.0259,6.9565,6.9835,112600.0
1999-07-26,6.9681,7.0221,6.8523,6.8523,143600.0
1999-07-27,6.8986,6.9295,6.833,6.8523,59400.0
1999-07-28,6.86,6.9758,6.8137,6.9526,28400.0
1999-07-29,6.9063,6.9681,6.8909,6.9102,58800.0
1999-07-30,7.0221,7.0992,7.0066,7.0568,81200.0
1999-08-02,7.0105,7.0259,6.9025,6.9025,27000.0
1999-08-03,6.9642,6.9912,6.914,6.9912,49000.0
1999-08-04,6.9796,7.1185,6.9796,7.0877,58200.0
1999-08-05,7.1417,7.2227,7.1224,7.2111,117200.0
1999-08-06,7.2536,7.2844,7.1841,7.1996,80800.0
1999-08-09,7.2844,7.3732,7.242,7.3732,203400.0
1999-08-10,7.3732,7.3925,7.2536,7.3307,122800.0
1999-08-11,7.3076,7.377,7.2266,7.377,211800.0
1999-08-12,7.3307,7.4503,7.3307,7.3925,293600.0
1999-08-13,7.3655,7.3848,7.3307,7.3693,446800.0
1999-08-16,7.3346,7.3346,7.2343,7.296,1744000.0
1999-08-17,7.2922,7.35,7.2767,7.35,1101400.0
1999-08-18,7.2922,7.3539,7.2883,7.296,1350800.0
1999-08-19,7.2613,7.3693,7.2613,7.3462,504800.0
1999-08-20,7.3307,7.3886,7.3192,7.3693,83200.0
1999-08-23,7.3847,7.4233,7.3539,7.4079,196800.0
1999-08-24,7.3423,7.3616,7.3037,7.3616,761400.0
1999-08-25,7.3925,7.3925,7.2497,7.3269,585600.0
1999-08-26,7.269,7.269,7.1301,7.1378,111200.0
1999-08-27,7.161,7.188,7.0915,7.134,77800.0
1999-08-30,7.161,7.161,7.0375,7.0375,207200.0
1999-08-31,7.0607,7.188,7.0529,7.134,582400.0
1999-09-01,7.134,7.1764,7.1108,7.1147,141600.0
1999-09-02,7.0607,7.0877,6.9912,7.0375,99800.0
1999-09-03,7.1224,7.1455,7.0877,7.1224,30600.0
1999-09-07,7.107,7.2613,7.107,7.2536,299800.0
1999-09-08,7.2381,7.3307,7.2073,7.2767,97800.0
1999-09-09,7.3423,7.4812,7.3423,7.4388,223600.0
1999-09-10,7.4851,7.4851,7.3848,7.4156,134600.0
1999-09-13,7.3462,7.3462,7.2806,7.2999,322000.0
1999-09-14,6.9758,7.3153,6.9758,7.2188,452400.0
1999-09-15,7.1764,7.2073,7.0992,7.1147,56400.0
1999-09-16,7.1301,7.1301,7.0529,7.1108,38600.0
1999-09-17,7.1159,7.1857,7.0617,7.1779,821800.0
1999-09-20,7.1857,7.1857,7.0423,7.0694,463600.0
1999-09-21,6.9376,6.9687,6.7749,6.8369,407000.0
1999-09-22,6.8679,6.9454,6.8408,6.8446,53800.0
1999-09-23,6.8989,6.9299,6.7671,6.7671,261200.0
1999-09-24,6.7594,6.7594,6.5384,6.6973,374400.0
1999-09-27,6.7439,6.8059,6.7129,6.7594,293000.0
1999-09-28,6.7051,6.7051,6.5113,6.6508,1388400.0
1999-09-29,6.6431,6.8369,6.6431,6.74,735600.0
1999-09-30,6.7594,6.8214,6.7206,6.8059,1219200.0
1999-10-01,6.8214,6.8214,6.7594,6.7826,170200.0
1999-10-04,6.8524,6.8524,6.6935,6.7051,136400.0
1999-10-05,6.6431,6.6431,6.4803,6.5578,132400.0
1999-10-06,6.6043,6.6741,6.5811,6.6741,138400.0
1999-10-07,6.6043,6.6043,6.5191,6.5501,441000.0
1999-10-08,6.4958,6.4958,6.3718,6.4764,730800.0
1999-10-11,6.4803,6.5811,6.4803,6.5733,368600.0
1999-10-12,6.6276,6.6663,6.585,6.6082,91400.0
1999-10-13,6.6353,6.6973,6.6353,6.6508,44400.0
1999-10-14,6.6431,6.6896,6.6043,6.6276,1125600.0
1999-10-15,6.5268,6.5966,6.4803,6.5307,556200.0
1999-10-18,6.4881,6.5501,6.4415,6.5423,487000.0
1999-10-19,6.5656,6.616,6.5617,6.5617,527600.0
1999-10-20,6.5966,6.6973,6.5772,6.6973,321400.0
1999-10-21,6.7129,6.7284,6.6663,6.7284,48200.0
