date,open,high,low,close,volume
1998-12-22,5.8773,5.8773,5.7953,5.7953,15800.0
1998-12-23,5.7892,5.7892,5.7589,5.771,48200.0
1998-12-24,5.8712,5.8894,5.8591,5.8773,47600.0
1998-12-28,5.8651,5.8773,5.8378,5.8469,6200.0
1998-12-29,5.8712,5.9592,5.8712,5.9441,24000.0
1998-12-30,5.9744,5.9896,5.8955,5.8955,140800.0
1998-12-31,5.8742,5.8742,5.8348,5.8742,43200.0
1999-01-04,5.8317,5.8773,5.7558,5.7801,218600.0
1999-01-05,5.8257,5.8499,5.8014,5.8499,222400.0
1999-01-06,5.8682,5.9289,5.8682,5.9107,82000.0
1999-01-07,5.9107,5.9714,5.8773,5.8894,444600.0
1999-01-08,5.9076,5.9289,5.8499,5.9228,271800.0
1999-01-11,5.8894,5.8894,5.7437,5.7649,258000.0
1999-01-12,5.7589,5.853,5.7376,5.768,14200.0
1999-01-13,5.7315,5.8499,5.7315,5.8074,51800.0
1999-01-14,5.7255,5.7832,5.683,5.7103,40000.0
1999-01-15,5.7315,5.7892,5.7164,5.7376,13800.0
1999-01-19,5.9137,5.9319,5.8287,5.9319,24400.0
1999-01-20,5.938,5.9714,5.8833,5.9076,65400.0
1999-01-21,5.9501,5.9501,5.8864,5.8864,41000.0
1999-01-22,5.8469,5.9683,5.8226,5.9258,41600.0
1999-01-25,5.9258,5.9258,5.7042,5.7042,27200.0
1999-01-26,5.768,5.8165,5.6799,5.8165,30400.0
1999-01-27,5.8014,5.8014,5.7285,5.7285,15600.0
1999-01-28,5.7437,5.8166,5.7376,5.7376,35200.0
1999-01-29,5.7376,5.7619,5.6739,5.7285,79600.0
1999-02-01,5.7619,5.7619,5.683,5.7164,24400.0
1999-02-02,5.6435,5.6557,5.5676,5.6405,55400.0
1999-02-03,5.6101,5.6769,5.6101,5.6708,65000.0
1999-02-04,5.6617,5.6617,5.5858,5.5858,36400.0
1999-02-05,5.6071,5.6374,5.5889,5.5889,16200.0
1999-02-08,5.5919,5.6283,5.5798,5.5889,26600.0
1999-02-09,5.601,5.6648,5.5889,5.6132,24400.0
1999-02-10,5.6132,5.6314,5.5707,5.5737,16000.0
1999-02-11,5.5889,5.6283,5.5707,5.598,8800.0
1999-02-12,5.6253,5.6253,5.4826,5.5069,206000.0
1999-02-16,5.5798,5.6071,5.5646,5.6071,118600.0
