date,open,high,low,close,volume
1962-01-02,0.0876,0.0882,0.0876,0.0876,902400.0
1962-01-03,0.0876,0.0889,0.0876,0.0889,1200000.0
1962-01-04,0.0889,0.0895,0.0887,0.0891,1088000.0
1962-01-05,0.0891,0.0895,0.0869,0.0872,1222400.0
1962-01-08,0.0872,0.0878,0.0859,0.0869,1388800.0
1962-01-09,0.0869,0.0876,0.0865,0.0867,1065600.0
1962-01-10,0.0867,0.0867,0.0861,0.0863,828800.0
1962-01-11,0.0865,0.0872,0.0865,0.0872,617600.0
1962-01-12,0.0874,0.0885,0.0874,0.0885,1398400.0
1962-01-15,0.0885,0.0885,0.0876,0.0885,966400.0
1962-01-16,0.0885,0.0885,0.0878,0.0878,569600.0
1962-01-17,0.0878,0.0885,0.0867,0.0874,832000.0
1962-01-18,0.0874,0.0878,0.0869,0.0876,844800.0
1962-01-19,0.0876,0.0882,0.0876,0.0882,720000.0
1962-01-22,0.0882,0.0885,0.088,0.0885,745600.0
1962-01-23,0.0882,0.0882,0.0876,0.0878,908800.0
1962-01-24,0.0878,0.088,0.0872,0.0878,841600.0
1962-01-25,0.0878,0.0885,0.0878,0.088,1078400.0
1962-01-26,0.088,0.0885,0.0878,0.0885,832000.0
1962-01-29,0.0885,0.09,0.0885,0.0898,1462400.0
1962-01-30,0.09,0.0906,0.09,0.0906,1843200.0
1962-01-31,0.0908,0.0919,0.0908,0.0919,1718400.0
1962-02-01,0.0919,0.0937,0.0919,0.0937,2371200.0
1962-02-02,0.0937,0.0956,0.0934,0.0956,2310400.0
1962-02-05,0.0958,0.0971,0.0958,0.0965,1977600.0
1962-02-06,0.0963,0.0963,0.095,0.0952,1446400.0
1962-02-07,0.096,0.096,0.0945,0.096,1126400.0
1962-02-08,0.096,0.0964,0.0958,0.096,684800.0
1962-02-09,0.0954,0.0954,0.0949,0.0949,563200.0
1962-02-12,0.0949,0.0954,0.0947,0.0951,428800.0
1962-02-13,0.0951,0.0951,0.0932,0.0945,873600.0
1962-02-14,0.0945,0.0956,0.0938,0.0956,636800.0
1962-02-15,0.0956,0.096,0.0951,0.0958,742400.0
1962-02-16,0.0958,0.0964,0.0956,0.096,816000.0
1962-02-19,0.096,0.098,0.096,0.0975,1657600.0
1962-02-20,0.0975,0.0982,0.0971,0.098,800000.0
1962-02-21,0.098,0.098,0.0964,0.0964,681600.0
1962-02-23,0.0964,0.0967,0.0958,0.0967,793600.0
1962-02-26,0.0967,0.0969,0.096,0.096,640000.0
1962-02-27,0.096,0.0975,0.096,0.0969,908800.0
1962-02-28,0.0969,0.0986,0.0969,0.0971,2131200.0
1962-03-01,0.0971,0.098,0.0967,0.0978,899200.0
1962-03-02,0.0978,0.098,0.0969,0.0969,838400.0
1962-03-05,0.0969,0.0969,0.0964,0.0964,1011200.0
1962-03-06,0.0964,0.0964,0.096,0.0962,550400.0
1962-03-07,0.0962,0.0964,0.0954,0.0958,985600.0
1962-03-08,0.0949,0.0949,0.0936,0.0943,1190400.0
1962-03-09,0.0945,0.0951,0.0945,0.0949,825600.0
1962-03-12,0.0945,0.0945,0.0936,0.0943,611200.0
1962-03-13,0.0943,0.0947,0.094,0.0945,656000.0
1962-03-14,0.0945,0.0951,0.0943,0.0951,681600.0
1962-03-15,0.0951,0.0969,0.0951,0.0967,1107200.0
1962-03-16,0.0964,0.0964,0.0956,0.0962,624000.0
1962-03-19,0.0962,0.0967,0.0956,0.0964,809600.0
1962-03-20,0.0964,0.0964,0.0949,0.0954,822400.0
1962-03-21,0.0954,0.0956,0.0949,0.0951,764800.0
1962-03-22,0.0951,0.0954,0.0947,0.0949,633600.0
1962-03-23,0.0949,0.0951,0.0947,0.0951,768000.0
1962-03-26,0.0951,0.0954,0.0949,0.0951,678400.0
1962-03-27,0.0951,0.0956,0.0947,0.0951,694400.0
1962-03-28,0.0951,0.0962,0.0951,0.096,688000.0
1962-03-29,0.096,0.0964,0.096,0.096,604800.0
1962-03-30,0.096,0.096,0.0956,0.0958,809600.0
1962-04-02,0.0958,0.0962,0.0956,0.0958,716800.0
1962-04-03,0.0958,0.0958,0.0938,0.0945,931200.0
1962-04-04,0.0945,0.0945,0.0927,0.0934,1033600.0
1962-04-05,0.0934,0.0938,0.0921,0.0938,700800.0
1962-04-06,0.0938,0.0945,0.0932,0.0934,569600.0
1962-04-09,0.0934,0.0938,0.0916,0.0916,716800.0
1962-04-10,0.0916,0.0934,0.0912,0.0934,937600.0
1962-04-11,0.0934,0.0949,0.0934,0.0934,720000.0
1962-04-12,0.0929,0.0929,0.0923,0.0923,947200.0
1962-04-13,0.0923,0.0934,0.0918,0.0934,710400.0
1962-04-16,0.0934,0.0934,0.0923,0.0932,812800.0
1962-04-17,0.0932,0.0945,0.0927,0.0945,1110400.0
1962-04-18,0.0947,0.0958,0.0947,0.0958,1084800.0
1962-04-19,0.0958,0.0969,0.0958,0.0969,1385600.0
1962-04-23,0.0969,0.0973,0.0967,0.0973,1081600.0
1962-04-24,0.0973,0.0975,0.0971,0.0973,1104000.0
1962-04-25,0.0973,0.098,0.0971,0.098,1180800.0
1962-04-26,0.098,0.098,0.0967,0.0967,2009600.0
1962-04-27,0.0967,0.0971,0.0954,0.096,1139200.0
1962-04-30,0.096,0.096,0.0938,0.0938,1222400.0
1962-05-01,0.0938,0.0954,0.0932,0.0954,1430400.0
1962-05-02,0.0954,0.0962,0.0954,0.0962,931200.0
1962-05-03,0.0962,0.0971,0.0962,0.0964,1155200.0
1962-05-04,0.0964,0.0967,0.096,0.0964,940800.0
1962-05-07,0.0962,0.0962,0.0958,0.0962,534400.0
1962-05-08,0.0962,0.0969,0.096,0.0962,1004800.0
1962-05-09,0.0962,0.0962,0.0953,0.0957,988800.0
1962-05-10,0.0957,0.0957,0.0944,0.0946,1475200.0
1962-05-11,0.0946,0.0949,0.0933,0.0933,1081600.0
1962-05-14,0.0931,0.0931,0.0898,0.0926,1987200.0
1962-05-15,0.0933,0.096,0.0933,0.0953,1414400.0
1962-05-16,0.0953,0.0962,0.0949,0.0953,1091200.0
1962-05-17,0.0953,0.0953,0.0935,0.0944,803200.0
1962-05-18,0.0944,0.0946,0.0935,0.0946,643200.0
1962-05-21,0.094,0.094,0.0933,0.094,576000.0
1962-05-22,0.094,0.0942,0.0924,0.0931,752000.0
1962-05-23,0.0929,0.0929,0.0918,0.092,1091200.0
1962-05-24,0.092,0.0926,0.0918,0.0924,1552000.0
1962-05-25,0.0924,0.0926,0.0895,0.0904,1446400.0
1962-05-28,0.0886,0.0886,0.0804,0.0816,4742400.0
1962-05-29,0.0816,0.0904,0.0804,0.0902,4502400.0
1962-05-31,0.0913,0.0926,0.0913,0.0922,3190400.0
1962-06-01,0.0915,0.0915,0.0904,0.0906,1750400.0
1962-06-04,0.0902,0.0902,0.0882,0.0882,2537600.0
1962-06-05,0.0882,0.0904,0.0875,0.09,1625600.0
1962-06-06,0.09,0.092,0.09,0.0913,1430400.0
1962-06-07,0.0913,0.092,0.0911,0.0918,784000.0
1962-06-08,0.0918,0.092,0.0911,0.0911,774400.0
1962-06-11,0.0911,0.0913,0.0904,0.0904,1174400.0
1962-06-12,0.0902,0.0902,0.088,0.088,1932800.0
1962-06-13,0.088,0.0893,0.0878,0.0882,1433600.0
1962-06-14,0.0882,0.0889,0.0869,0.0871,1552000.0
1962-06-15,0.0871,0.0886,0.0869,0.0886,1817600.0
1962-06-18,0.0886,0.0893,0.088,0.0891,1219200.0
1962-06-19,0.0891,0.0891,0.0884,0.0884,819200.0
1962-06-20,0.0884,0.0886,0.088,0.088,784000.0
1962-06-21,0.088,0.0884,0.0871,0.0873,1094400.0
1962-06-22,0.0871,0.0871,0.0862,0.0864,1174400.0
1962-06-25,0.086,0.086,0.0847,0.086,2118400.0
1962-06-26,0.086,0.0882,0.0855,0.0855,1296000.0
1962-06-27,0.0855,0.0867,0.0855,0.0867,892800.0
1962-06-28,0.0869,0.0884,0.0869,0.0884,1459200.0
1962-06-29,0.0884,0.0889,0.088,0.0886,1196800.0
1962-07-02,0.0886,0.0891,0.0882,0.0889,668800.0
1962-07-03,0.0889,0.0891,0.088,0.0886,1142400.0
1962-07-05,0.0889,0.0895,0.0889,0.0891,848000.0
1962-07-06,0.0891,0.0893,0.0882,0.0891,896000.0
1962-07-09,0.0891,0.0893,0.0886,0.0891,1126400.0
1962-07-10,0.0895,0.0906,0.0895,0.0906,3619200.0
1962-07-11,0.0906,0.0918,0.0904,0.0918,892800.0
1962-07-12,0.0918,0.0924,0.0915,0.092,1132800.0
1962-07-13,0.092,0.0922,0.0913,0.092,611200.0
1962-07-16,0.092,0.0922,0.0913,0.0922,684800.0
1962-07-17,0.0922,0.0924,0.0909,0.0909,784000.0
1962-07-18,0.0909,0.0915,0.0898,0.0909,931200.0
1962-07-19,0.0911,0.092,0.0911,0.0913,640000.0
1962-07-20,0.0913,0.092,0.0911,0.0915,595200.0
1962-07-23,0.0915,0.0922,0.0915,0.0915,579200.0
1962-07-24,0.0915,0.092,0.0913,0.0918,419200.0
1962-07-25,0.0918,0.092,0.0915,0.092,470400.0
