date,open,high,low,close,volume
2024-09-14,30.59,31.05,30.2,30.66,2033.13395414
2024-09-15,30.6,31.48,29.06,29.21,5637.36021197
2024-09-16,29.19,29.58,27.47,29.09,6260.50604895
2024-09-17,29.14,30.4,28.9,29.72,2158.50485109
2024-09-18,29.38,30.56,29.03,30.56,985.30416359
2024-09-19,30.63,32.24,30.55,31.64,2103.76671153
2024-09-20,31.54,32.42,30.35,31.21,2623.02760295
2024-09-21,31.25,31.53,30.67,31.2,1998.00083313
2024-09-22,31.21,31.21,29.48,30.21,1408.97298995
2024-09-23,30.21,31.05,28.7,29.65,5009.95990577
2024-09-24,29.66,30.02,28.82,29.38,2077.2576301
2024-09-25,29.48,29.87,28.14,28.2,2453.83284073
2024-09-26,28.34,31.48,28.08,30.02,10012.93873084
2024-09-27,30.23,32.27,30.18,30.47,7133.19359204
2024-09-28,30.47,31.33,28.88,29.36,2640.63938337
2024-09-29,29.49,29.49,28.99,29.12,1021.99550816
2024-09-30,29.13,29.13,27.53,27.8,6082.55612951
2024-10-01,27.7,28.59,26.0,26.66,9816.6305704
2024-10-02,26.65,27.56,25.27,25.92,3332.85220317
2024-10-03,25.93,26.37,24.42,25.67,2810.26353715
2024-10-04,25.47,26.99,25.47,26.7,1801.60115479
2024-10-05,26.84,28.31,26.64,27.36,1367.78846802
2024-10-06,27.38,29.34,27.38,29.3,4351.67091915
2024-10-07,29.28,30.13,28.89,28.97,3906.34739012
2024-10-08,28.95,29.56,28.32,28.94,3792.82543137
2024-10-09,29.03,29.34,28.6,29.1,3365.43984935
2024-10-10,29.1,33.98,29.08,33.81,8971.93471878
2024-10-11,33.76,37.25,33.17,36.33,16381.88661549
2024-10-12,36.32,36.5,34.28,34.58,3588.33904355
2024-10-13,34.4,37.45,33.95,35.38,5506.39324998
2024-10-14,35.16,38.32,35.16,36.15,4084.32910839
2024-10-15,36.15,38.28,36.03,37.39,4356.101373
2024-10-16,37.43,40.72,36.7,36.98,10300.14174745
2024-10-17,36.95,37.56,34.97,36.13,4897.43999756
2024-10-18,36.1,37.5,35.49,35.84,2111.89705934
2024-10-19,35.83,37.1,35.34,37.1,2378.00749669
2024-10-20,37.15,37.43,35.92,36.88,3023.64413801
